time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-07T07:15:34.530Z,38.1392,-118.8252,30.5,2.5,ml,12,146.23,0.579,0.18,nn,nn00673505,2019-01-07T07:17:34.032Z,"37km ESE of Bridgeport, California",earthquake,,5.1,,,automatic,nn,nn
2019-01-07T07:15:29.770Z,38.0586662,-118.8704987,8.6,2.65,md,24,84,0.1522,0.07,nc,nc73130731,2019-01-07T07:36:03.106Z,"21km SE of Bodie, CA",earthquake,0.43,1.72,0.29,17,automatic,nc,nc
2019-01-07T05:08:04.630Z,10.4987,-63.1847,17.02,4.6,mb,,63,2.211,1.23,us,us2000j0zl,2019-01-07T05:42:11.702Z,"5km SW of El Pilar, Venezuela",earthquake,4.4,4.8,0.06,83,reviewed,us,us
2019-01-07T05:03:06.790Z,34.594,-117.4255,7.94,2.64,ml,69,34,0.04399,0.2,ci,ci38418576,2019-01-07T07:15:13.007Z,"2km NW of Adelanto, CA",earthquake,0.21,0.6,0.185,25,automatic,ci,ci
2019-01-07T04:12:13.920Z,2.4424,126.8312,41.93,4.4,mb,,113,1.743,1.19,us,us2000j0z8,2019-01-07T05:09:08.040Z,"153km WNW of Tobelo, Indonesia",earthquake,4.2,6.8,0.108,25,reviewed,us,us
2019-01-07T04:03:21.640Z,2.3794,126.8812,49.41,4.5,mb,,133,1.669,0.9,us,us2000j0z3,2019-01-07T04:42:24.040Z,"144km WNW of Tobelo, Indonesia",earthquake,9.6,2.5,0.095,32,reviewed,us,us
2019-01-07T03:52:23.560Z,18.443,-67.4133,21,2.77,md,14,218,0.0881,0.19,pr,pr2019007002,2019-01-07T07:32:42.275Z,"20km WNW of Rincon, Puerto Rico",earthquake,0.8,1.41,0.41,14,reviewed,pr,pr
2019-01-07T03:48:28.790Z,-8.232,119.9272,27.86,4.7,mb,,60,2.32,0.96,us,us2000j0yt,2019-01-07T04:29:31.040Z,"23km NNW of Bolengpulau, Indonesia",earthquake,7.4,4.5,0.096,33,reviewed,us,us
2019-01-07T03:11:55.980Z,7.8755,121.9233,35,5.5,mww,,39,3.712,1.28,us,us2000j0yp,2019-01-07T05:14:13.168Z,"29km NW of Siocon, Philippines",earthquake,7.2,1.9,0.069,20,reviewed,us,us
2019-01-07T02:45:20.190Z,31.1562,-103.2465,5,2.6,mb_lg,,53,0.244,0.49,us,us2000j0ym,2019-01-07T03:10:44.040Z,"37km SE of Pecos, Texas",earthquake,0.9,1.8,0.136,16,reviewed,us,us
2019-01-07T01:48:33.760Z,19.1793,-66.1136,15,2.73,md,5,312,1.0504,0.34,pr,pr2019007006,2019-01-07T07:26:53.260Z,"78km N of San Juan, Puerto Rico",earthquake,10.54,20.46,0.18,4,reviewed,pr,pr
2019-01-07T01:44:55.470Z,-25.4207,-71.0654,10,4.2,mb,,169,0.837,1.08,us,us2000j0yh,2019-01-07T02:40:16.040Z,"58km W of Taltal, Chile",earthquake,5.3,2,0.215,6,reviewed,us,us
