longitude;latitude;altitude
-84.99573;-14.65418;0
-104.00323;-0.66429;0
-85.43863;-14.03829;0
-85.47918;-14.0613;0
-85.54134;-14.01543;0
-85.32506;-14.49082;0
-85.47912;-14.05975;0
-85.17743;-14.43215;0
-85.17686;-14.28824;0
-85.20283;-14.09042;0
-85.53127;-14.01748;0
-85.34408;-14.12987;0
-85.59476;-14.03352;0
-85.23204;-14.4379;0
-85.20689;-14.32252;0
-85.32943;-14.49253;0
-83.53467;-12.89935;0
-85.40515;-14.27965;0
-83.94256;-14.09423;0
-85.2018;-14.09105;0
-85.40066;-14.27089;0
-83.96655;-15.08418;0
-85.53515;-14.59502;0
-83.80178;-12.81144;0
-85.48677;-14.3917;0
-85.19001;-14.13497;0
-83.31718;-13.11916;0
-85.36693;-14.23649;0
-83.53444;-12.89794;0
-84.73233;-14.39882;0
-83.37352;-13.10077;0
-83.80505;-12.81465;0
-84.43457;-15.1014;0
-84.2996;-14.39035;0
-85.44228;-14.28599;0
-84.3322;-14.41179;0
-84.34871;-15.10302;0
-83.95895;-15.08211;0
-84.37566;-14.4055;0
-81.18092;-16.99599;0
-85.47488;-14.26754;0
-84.1875;-12.74144;0
-83.18498;-13.5353;0
-84.39208;-14.22401;0
-82.46582;-13.6724;0
-86.59203;-14.02435;0
-84.37178;-14.26143;0
-84.38184;-14.2576;0
-82.42417;-13.65145;0
-83.5591;-11.99198;0
-82.00759;-12.62993;0
-81.95791;-13.147;0
-81.87748;-13.47365;0
-82.50741;-13.59422;0
-83.50388;-12.1063;0
-83.1513;-12.0348;0
-83.5329;-11.99885;0
-83.58573;-12.02703;0
-82.02225;-12.61022;0
-82.10545;-12.83871;0
-81.85057;-13.30803;0
-81.87405;-13.31175;0
-84.51896;-14.15563;0
-84.63877;-14.18497;0
-82.87018;-14.03345;0
-83.15447;-12.03447;0
-83.52938;-12.00423;0
-83.5877;-12.02385;0
-82.01195;-12.62532;0
-82.0265;-12.61191;0
-81.87932;-13.47406;0
-84.59161;-14.13475;0
-84.30336;-14.38658;0
-84.36366;-14.41078;0
-82.84893;-14.04752;0
-82.70019;-13.84086;0
-83.52956;-12.14265;0
-83.54266;-12.14645;0
-83.53121;-12.00101;0
-82.06142;-12.91033;0
-81.9058;-14.76868;0
-84.3848;-14.2575;0
-84.31053;-14.38365;0
-82.87265;-14.03186;0
-82.87595;-14.02906;0
-82.47073;-13.67158;0
-82.53531;-13.56225;0
-81.84938;-14.86547;0
-84.29116;-14.42056;0
-84.34326;-14.44433;0
-82.84386;-14.04705;0
-82.432;-13.59826;0
-84.49895;-14.4015;0
-84.5149;-14.16051;0
-84.3452;-14.4479;0
-84.3585;-14.41458;0
-81.94728;-13.1734;0
-81.84879;-13.30514;0
-82.43782;-13.5965;0
-81.76085;-14.84487;0
-84.57998;-14.1327;0
-82.41664;-13.6527;0
-81.83657;-14.86575;0
-82.11089;-12.83783;0
-82.50399;-13.59098;0
-101.4223;-0.39122;0
-104.3766;-0.07486;0
-104.37705;-0.06291;0
-101.11976;-1.11568;0
-102.37287;0.28035;0
-102.39855;0.2758;0
-101.27914;-0.63103;0
-101.18543;-0.60749;0
-101.6014;-1.18413;0
-101.29047;-0.61698;0
-101.16886;-0.63282;0
-82.21203;-14.02202;0
-81.56327;-14.06095;0
-81.99011;-13.48027;0
-84.45063;-15.34316;0
-82.19959;-13.59805;0
-81.40091;-13.97513;0
-81.20482;-14.01474;0
-82.25829;-13.68959;0
-81.39342;-13.97957;0
-81.20353;-14.01753;0
-81.99434;-13.48175;0
-84.10787;-15.35054;0
-83.96412;-15.22519;0
-83.96624;-15.2225;0
-82.20714;-14.02459;0
-82.18187;-13.60259;0
-82.27833;-13.67718;0
-81.64409;-14.36605;0
-81.5738;-14.06217;0
-81.7456;-14.02067;0
-81.49132;-13.96339;0
-81.55218;-13.93995;0
-81.27208;-13.95771;0
-81.28457;-13.96055;0
-81.75537;-13.57555;0
-82.02314;-13.50093;0
-81.94224;-13.55797;0
-81.96344;-13.58748;0
-88.03402;-5.89908;0
-84.98391;-11.55208;0
-84.43982;-15.34426;0
-84.53934;-15.33531;0
-84.0578;-15.32663;0
-83.38799;-14.88799;0
-82.23724;-13.56001;0
-81.93257;-13.55509;0
-81.93977;-13.55678;0
-83.39567;-14.88325;0
-82.35143;-14.09115;0
-82.40199;-13.92858;0
-82.26885;-13.68371;0
-81.72113;-14.31925;0
-81.96815;-13.58976;0
-100.51678;-2.25977;0
-86.03351;-8.54031;0
-85.01773;-13.95878;0
-84.04412;-15.33132;0
-83.40514;-14.88195;0
-82.35607;-14.09073;0
-81.40658;-13.97188;0
-81.5629;-13.93467;0
-82.02296;-13.50218;0
-81.94175;-13.56281;0
-81.40872;-13.92584;0
-81.50741;-13.73054;0
-81.75838;-13.57424;0
-88.02817;-5.89308;0
-82.40471;-13.92383;0
-81.4844;-13.96435;0
-81.39558;-13.98101;0
-81.99712;-13.47704;0
-84.1057;-15.34701;0
-81.73627;-14.01763;0
-100.49738;-2.25656;0
-81.66366;-14.04692;0
-82.40123;-13.93074;0
-81.38068;-13.96744;0
-82.25452;-14.01073;0
-81.20582;-14.01492;0
-82.1629;-13.91377;0
-82.05013;-13.77515;0
-83.49004;-14.09878;0
-83.02368;-14.68901;0
-82.02588;-13.82486;0
-82.02902;-13.82429;0
-82.45628;-13.08643;0
-83.34576;-9.89125;0
-83.16113;-10.9081;0
-82.50849;-14.305;0
-82.30101;-13.04946;0
-83.01245;-13.44988;0
-81.97023;-13.80242;0
-83.02292;-13.44652;0
-83.16533;-13.70752;0
-83.16213;-10.90938;0
-83.05028;-11.16554;0
-82.69464;-11.7227;0
-82.69086;-11.82369;0
-82.31518;-14.30935;0
-82.35994;-13.13483;0
-82.85191;-13.63888;0
-81.99849;-13.93501;0
-83.09303;-13.69269;0
-83.01722;-13.44816;0
-82.87255;-14.17142;0
-82.45317;-13.12029;0
-82.32873;-14.3025;0
-83.96057;-15.238;0
-83.09723;-13.69124;0
-82.43137;-13.0493;0
-83.36406;-12.91315;0
-81.99409;-13.9828;0
-82.03088;-13.96316;0
-83.30416;-13.13276;0
-81.85164;-14.02435;0
-82.02731;-13.93504;0
-82.25231;-13.92928;0
-83.3607;-12.96463;0
-82.48864;-15.26215;0
-83.29359;-12.9379;0
-82.41953;-15.33813;0
-83.87872;-13.07632;0
-82.05642;-14.04538;0
-81.98265;-13.98822;0
-83.98296;-14.40754;0
-83.32821;-15.44558;0
-83.33155;-15.44456;0
-81.90156;-13.93001;0
-83.71891;-12.94389;0
-83.78176;-12.92704;0
-83.99533;-14.40285;0
-84.13803;-15.40814;0
-83.45651;-13.10865;0
-83.96974;-14.71206;0
-84.3662;-15.30643;0
-83.10433;-15.57569;0
-83.10859;-15.5387;0
-84.24289;-15.25162;0
-84.27426;-15.26763;0
-84.51006;-15.32386;0
-82.46165;-14.0116;0
-82.46841;-14.01363;0
-82.47083;-14.00984;0
-82.47394;-14.00247;0
-82.24426;-13.82218;0
-82.25552;-13.82048;0
-82.2562;-13.8192;0
-82.25685;-13.81474;0
-82.2574;-13.80548;0
-82.25482;-13.79804;0
-81.69781;-14.22548;0
-81.70182;-14.2251;0
-81.70831;-14.22668;0
-81.90269;-14.35913;0
-83.01177;-12.82492;0
-82.99074;-12.90969;0
-82.99016;-12.90792;0
-82.98867;-12.90591;0
-82.9894;-12.90557;0
-82.98974;-12.9052;0
-83.00013;-12.90039;0
-82.03131;-12.98254;0
-86.38982;-14.37907;0
-84.69342;-15.27734;0
-83.11313;-15.58211;0
-83.10651;-15.57752;0
-83.11026;-15.54343;0
-83.10934;-15.53879;0
-83.1081;-15.53821;0
-83.10781;-15.53829;0
-83.92911;-14.8062;0
-84.08766;-14.77375;0
-84.23493;-14.49621;0
-84.23741;-14.49789;0
-84.25152;-14.49831;0
-84.27135;-14.52326;0
-84.29299;-14.52552;0
-84.29984;-14.52906;0
-84.55803;-14.52115;0
-84.58316;-14.5315;0
-84.26441;-15.14915;0
-84.2064;-15.17418;0
-84.21058;-15.1772;0
-84.27298;-15.17452;0
-84.27782;-15.17593;0
-84.30655;-15.17687;0
-84.32341;-15.17515;0
-84.33627;-15.16709;0
-84.24168;-15.2495;0
-84.24313;-15.25247;0
-84.24357;-15.25761;0
-84.24515;-15.26007;0
-84.24684;-15.26185;0
-84.25301;-15.26047;0
-84.28735;-15.26711;0
-84.29994;-15.2708;0
-84.30677;-15.27271;0
-84.3094;-15.27266;0
-84.31836;-15.27673;0
-84.32074;-15.27809;0
-84.32309;-15.28076;0
-84.32506;-15.28311;0
-84.32931;-15.28402;0
-84.36124;-15.30799;0
-84.3655;-15.31006;0
-84.36576;-15.30757;0
-84.36768;-15.30568;0
-84.5035;-15.33636;0
-84.50464;-15.33637;0
-84.50802;-15.33676;0
-84.51056;-15.3381;0
-84.50885;-15.33562;0
-84.51486;-15.32095;0
-84.55095;-14.67245;0
-84.55649;-14.67594;0
-84.56492;-14.67033;0
-84.5714;-14.65584;0
-84.5729;-14.65476;0
-84.63656;-14.67124;0
-82.46074;-14.0117;0
-82.46447;-14.01154;0
-82.4674;-14.01323;0
-82.47526;-13.9946;0
-82.47565;-13.99167;0
-82.47619;-13.9884;0
-82.24755;-13.82066;0
-82.25138;-13.82051;0
-82.25422;-13.82166;0
-82.25699;-13.81018;0
-82.25513;-13.80076;0
-82.25522;-13.7996;0
-82.08629;-13.9161;0
-82.0951;-13.90681;0
-82.09789;-13.90531;0
-82.20536;-13.87162;0
-81.67874;-14.15662;0
-81.68117;-14.15436;0
-81.69815;-14.22502;0
-81.69866;-14.22527;0
-81.71094;-14.22606;0
-81.72589;-14.20894;0
-81.72917;-14.206;0
-81.74461;-14.20692;0
-81.74603;-14.20763;0
-81.74741;-14.20735;0
-81.74993;-14.20613;0
-81.75221;-14.20469;0
-81.76159;-14.19648;0
-81.8546;-14.17559;0
-81.8906;-14.17315;0
-81.89604;-14.17402;0
-81.89383;-14.21203;0
-81.90268;-14.20773;0
-81.9051;-14.20785;0
-81.90736;-14.20718;0
-81.8314;-14.23465;0
-81.84247;-14.23703;0
-81.88113;-14.2325;0
-81.82209;-14.2628;0
-81.89305;-14.36976;0
-81.89399;-14.36471;0
-81.89568;-14.36318;0
-81.89875;-14.36153;0
-81.90087;-14.36001;0
-83.01313;-12.82568;0
-83.01412;-12.82687;0
-83.01519;-12.82826;0
-83.01814;-12.82968;0
-83.01941;-12.83027;0
-82.99078;-12.91001;0
-82.9912;-12.91019;0
-82.9915;-12.90966;0
-82.99035;-12.90315;0
-82.99645;-12.90148;0
-81.57191;-13.26974;0
-82.03495;-12.98131;0
-82.03202;-12.9823;0
-82.03377;-12.98987;0
-82.03507;-12.98859;0
-82.20286;-12.96176;0
-82.20411;-12.96194;0
-82.20501;-12.96458;0
-82.20377;-12.96035;0
-81.45688;-14.77081;0
-86.38894;-14.37769;0
-86.39252;-14.38219;0
-86.39416;-14.38374;0
-85.24564;-15.37965;0
-85.13002;-15.36059;0
-85.13531;-15.39751;0
-84.66046;-15.26909;0
-84.66812;-15.27127;0
-84.68515;-15.27689;0
-84.43828;-15.36107;0
-84.44331;-15.35865;0
-84.44632;-15.35735;0
-84.44823;-15.3568;0
-83.11528;-15.58325;0
-83.11065;-15.58032;0
-83.10856;-15.57878;0
-83.1031;-15.57286;0
-83.10309;-15.57077;0
-83.10398;-15.563;0
-83.1051;-15.55954;0
-83.1085;-15.55023;0
-83.10935;-15.54856;0
-83.90135;-14.79196;0
-84.08576;-14.77199;0
-84.08832;-14.77568;0
-84.08946;-14.77816;0
-84.08888;-14.78333;0
-84.08843;-14.78849;0
-84.0885;-14.79124;0
-84.23938;-14.49874;0
-84.24326;-14.49831;0
-84.24814;-14.49798;0
-84.2637;-14.51093;0
-84.27063;-14.52147;0
-84.27348;-14.52532;0
-84.27659;-14.52577;0
-84.27748;-14.52575;0
-84.28025;-14.5257;0
-84.28499;-14.52484;0
-84.54384;-14.52577;0
-84.58547;-14.5339;0
-84.58963;-14.53669;0
-84.59935;-14.53951;0
-84.60663;-14.53897;0
-84.65355;-14.54448;0
-84.27009;-15.15232;0
-84.28161;-15.15777;0
-84.28973;-15.16;0
-84.30835;-15.16096;0
-84.33394;-15.16745;0
-84.34059;-15.16837;0
-84.34391;-15.16865;0
-84.34613;-15.16866;0
-84.2039;-15.17297;0
-84.22214;-15.17794;0
-84.24943;-15.17395;0
-84.25698;-15.17208;0
-84.26871;-15.17202;0
-84.27527;-15.17511;0
-84.31589;-15.17612;0
-84.32013;-15.17555;0
-84.32563;-15.17432;0
-84.32797;-15.17275;0
-84.33334;-15.16851;0
-84.24332;-15.25088;0
-84.24282;-15.25595;0
-84.24421;-15.25841;0
-84.24874;-15.26275;0
-84.24989;-15.26159;0
-84.25156;-15.2612;0
-84.25512;-15.28408;0
-84.25661;-15.2817;0
-84.25898;-15.27927;0
-84.26188;-15.27648;0
-84.26867;-15.26964;0
-84.28148;-15.26641;0
-84.32143;-15.27944;0
-84.34724;-15.29624;0
-84.35611;-15.30449;0
-84.36388;-15.30944;0
-84.36404;-15.31003;0
-84.36532;-15.31046;0
-84.36547;-15.30948;0
-84.36717;-15.30628;0
-84.3671;-15.30587;0
-84.37246;-15.3064;0
-84.38142;-15.31057;0
-84.4141;-15.31822;0
-84.41762;-15.31869;0
-84.46126;-15.32164;0
-84.48481;-15.32895;0
-84.48824;-15.32958;0
-84.49062;-15.33131;0
-84.49314;-15.33245;0
-84.49519;-15.33207;0
-84.49759;-15.3326;0
-84.511;-15.3384;0
-84.50964;-15.33761;0
-84.50793;-15.33337;0
-84.50748;-15.32691;0
-84.5087;-15.32534;0
-84.51183;-15.32288;0
-84.5571;-14.67578;0
-84.56061;-14.67351;0
-84.56534;-14.66909;0
-84.57502;-14.65382;0
-84.57655;-14.65169;0
-84.57819;-14.65046;0
-84.60578;-14.66029;0
-84.61232;-14.66184;0
-84.61755;-14.66405;0
-82.46604;-14.01251;0
-82.46935;-14.01261;0
-82.46993;-14.0118;0
-82.05;-13.9465;0
-82.05531;-13.94033;0
-82.05816;-13.93735;0
-82.0649;-13.93172;0
-82.07158;-13.92801;0
-82.08457;-13.92042;0
-82.16254;-13.86882;0
-82.17611;-13.86305;0
-82.1802;-13.86098;0
-82.19166;-13.85492;0
-82.19542;-13.85151;0
-82.20987;-13.83306;0
-82.23716;-13.82191;0
-82.24239;-13.82209;0
-82.2459;-13.82146;0
-82.24954;-13.82025;0
-82.25293;-13.82081;0
-82.25477;-13.82127;0
-82.25752;-13.8079;0
-82.25704;-13.80395;0
-82.25565;-13.8023;0
-82.08294;-13.92118;0
-82.08487;-13.91838;0
-82.08814;-13.91358;0
-82.09073;-13.911;0
-82.09313;-13.9084;0
-82.1195;-13.89466;0
-82.12888;-13.89128;0
-82.14113;-13.88908;0
-82.16425;-13.88592;0
-82.17176;-13.8837;0
-82.19069;-13.87536;0
-82.19844;-13.87339;0
-82.20179;-13.87231;0
-82.20958;-13.87151;0
-82.21387;-13.87158;0
