time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magNst,status,locationSource,magSource
,-14.65418,-84.99573,,,,,,,,,,,,,,,,,
,-0.66429,-104.00323,,,,,,,,,,,,,,,,,
,-14.03829,-85.43863,,,,,,,,,,,,,,,,,
,-14.0613,-85.47918,,,,,,,,,,,,,,,,,
,-14.01543,-85.54134,,,,,,,,,,,,,,,,,
,-14.49082,-85.32506,,,,,,,,,,,,,,,,,
,-14.05975,-85.47912,,,,,,,,,,,,,,,,,
,-14.43215,-85.17743,,,,,,,,,,,,,,,,,
,-14.28824,-85.17686,,,,,,,,,,,,,,,,,
,-14.09042,-85.20283,,,,,,,,,,,,,,,,,
,-14.01748,-85.53127,,,,,,,,,,,,,,,,,
,-14.12987,-85.34408,,,,,,,,,,,,,,,,,
,-14.03352,-85.59476,,,,,,,,,,,,,,,,,
,-14.4379,-85.23204,,,,,,,,,,,,,,,,,
,-14.32252,-85.20689,,,,,,,,,,,,,,,,,
,-14.49253,-85.32943,,,,,,,,,,,,,,,,,
,-12.89935,-83.53467,,,,,,,,,,,,,,,,,
,-14.27965,-85.40515,,,,,,,,,,,,,,,,,
,-14.09423,-83.94256,,,,,,,,,,,,,,,,,
,-14.09105,-85.2018,,,,,,,,,,,,,,,,,
,-14.27089,-85.40066,,,,,,,,,,,,,,,,,
,-15.08418,-83.96655,,,,,,,,,,,,,,,,,
,-14.59502,-85.53515,,,,,,,,,,,,,,,,,
,-12.81144,-83.80178,,,,,,,,,,,,,,,,,
,-14.3917,-85.48677,,,,,,,,,,,,,,,,,
,-14.13497,-85.19001,,,,,,,,,,,,,,,,,
,-13.11916,-83.31718,,,,,,,,,,,,,,,,,
,-14.23649,-85.36693,,,,,,,,,,,,,,,,,
,-12.89794,-83.53444,,,,,,,,,,,,,,,,,
,-14.39882,-84.73233,,,,,,,,,,,,,,,,,
,-13.10077,-83.37352,,,,,,,,,,,,,,,,,
,-12.81465,-83.80505,,,,,,,,,,,,,,,,,
,-15.1014,-84.43457,,,,,,,,,,,,,,,,,
,-14.39035,-84.2996,,,,,,,,,,,,,,,,,
,-14.28599,-85.44228,,,,,,,,,,,,,,,,,
,-14.41179,-84.3322,,,,,,,,,,,,,,,,,
,-15.10302,-84.34871,,,,,,,,,,,,,,,,,
,-15.08211,-83.95895,,,,,,,,,,,,,,,,,
,-14.4055,-84.37566,,,,,,,,,,,,,,,,,
,-16.99599,-81.18092,,,,,,,,,,,,,,,,,
,-14.26754,-85.47488,,,,,,,,,,,,,,,,,
,-12.74144,-84.1875,,,,,,,,,,,,,,,,,
,-13.5353,-83.18498,,,,,,,,,,,,,,,,,
,-14.22401,-84.39208,,,,,,,,,,,,,,,,,
,-13.6724,-82.46582,,,,,,,,,,,,,,,,,
,-14.02435,-86.59203,,,,,,,,,,,,,,,,,
,-14.26143,-84.37178,,,,,,,,,,,,,,,,,
,-14.2576,-84.38184,,,,,,,,,,,,,,,,,
,-13.65145,-82.42417,,,,,,,,,,,,,,,,,
,-11.99198,-83.5591,,,,,,,,,,,,,,,,,
,-12.62993,-82.00759,,,,,,,,,,,,,,,,,
,-13.147,-81.95791,,,,,,,,,,,,,,,,,
,-13.47365,-81.87748,,,,,,,,,,,,,,,,,
,-13.59422,-82.50741,,,,,,,,,,,,,,,,,
,-12.1063,-83.50388,,,,,,,,,,,,,,,,,
,-12.0348,-83.1513,,,,,,,,,,,,,,,,,
,-11.99885,-83.5329,,,,,,,,,,,,,,,,,
,-12.02703,-83.58573,,,,,,,,,,,,,,,,,
,-12.61022,-82.02225,,,,,,,,,,,,,,,,,
,-12.83871,-82.10545,,,,,,,,,,,,,,,,,
,-13.30803,-81.85057,,,,,,,,,,,,,,,,,
,-13.31175,-81.87405,,,,,,,,,,,,,,,,,
,-14.15563,-84.51896,,,,,,,,,,,,,,,,,
,-14.18497,-84.63877,,,,,,,,,,,,,,,,,
,-14.03345,-82.87018,,,,,,,,,,,,,,,,,
