time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.1793,-81.204299,,,,,,,,,,,,,,,,,,
,-5.1752,-81.1997,,,,,,,,,,,,,,,,,,
,-5.1752,-81.1997,,,,,,,,,,,,,,,,,,
,-5.1752,-81.1997,,,,,,,,,,,,,,,,,,
,-5.1753,-81.199799,,,,,,,,,,,,,,,,,,
,-5.1753,-81.1999,,,,,,,,,,,,,,,,,,
,-5.1752,-81.1999,,,,,,,,,,,,,,,,,,
,-5.2456,-81.1909,,,,,,,,,,,,,,,,,,
,-5.9095,-81.168299,,,,,,,,,,,,,,,,,,
,-5.9064,-81.1682,,,,,,,,,,,,,,,,,,
,-5.1128,-81.190999,,,,,,,,,,,,,,,,,,
,-5.7996,-81.107,,,,,,,,,,,,,,,,,,
,-5.805,-81.108999,,,,,,,,,,,,,,,,,,
,-5.7922,-81.1071,,,,,,,,,,,,,,,,,,
,-5.7837,-81.104499,,,,,,,,,,,,,,,,,,
,-5.7862,-81.105599,,,,,,,,,,,,,,,,,,
,-5.1761,-81.2013,,,,,,,,,,,,,,,,,,
,-5.8668,-81.161099,,,,,,,,,,,,,,,,,,
,-5.8967,-81.171299,,,,,,,,,,,,,,,,,,
,-5.7945,-81.1073,,,,,,,,,,,,,,,,,,
,-5.7789,-81.1027,,,,,,,,,,,,,,,,,,
,-5.8688,-81.162899,,,,,,,,,,,,,,,,,,
,-5.9582,-81.171499,,,,,,,,,,,,,,,,,,
,-5.1551,-81.1949,,,,,,,,,,,,,,,,,,
,-4.3172,-81.281999,,,,,,,,,,,,,,,,,,
,-4.3171,-81.2821,,,,,,,,,,,,,,,,,,
,-4.3171,-81.2821,,,,,,,,,,,,,,,,,,
,-4.3171,-81.2821,,,,,,,,,,,,,,,,,,
,-5.7999,-81.107399,,,,,,,,,,,,,,,,,,
,-5.8053,-81.1094,,,,,,,,,,,,,,,,,,
,-5.247,-81.189399,,,,,,,,,,,,,,,,,,
,-5.9025,-81.1695,,,,,,,,,,,,,,,,,,
,-5.931,-81.1698,,,,,,,,,,,,,,,,,,
,-5.1065,-81.1874,,,,,,,,,,,,,,,,,,
,-5.7729,-81.0982,,,,,,,,,,,,,,,,,,
,-5.7984,-81.1071,,,,,,,,,,,,,,,,,,
,-5.797,-81.1073,,,,,,,,,,,,,,,,,,
,-5.8008,-81.1078,,,,,,,,,,,,,,,,,,
,-5.7977,-81.1071,,,,,,,,,,,,,,,,,,
,-5.7932,-81.107399,,,,,,,,,,,,,,,,,,
,-5.7829,-81.1046,,,,,,,,,,,,,,,,,,
,-5.9523,-81.1727,,,,,,,,,,,,,,,,,,
,-5.1614,-81.1908,,,,,,,,,,,,,,,,,,
,-4.3171,-81.282199,,,,,,,,,,,,,,,,,,
,-4.3171,-81.282199,,,,,,,,,,,,,,,,,,
,-5.9259,-81.1693,,,,,,,,,,,,,,,,,,
,-5.1467,-81.1995,,,,,,,,,,,,,,,,,,
,-5.1467,-81.1995,,,,,,,,,,,,,,,,,,
,-5.1467,-81.199599,,,,,,,,,,,,,,,,,,
,-5.1467,-81.1995,,,,,,,,,,,,,,,,,,
,-5.1467,-81.1995,,,,,,,,,,,,,,,,,,
,-5.1467,-81.199599,,,,,,,,,,,,,,,,,,
,-5.1467,-81.199599,,,,,,,,,,,,,,,,,,
,-5.1467,-81.199599,,,,,,,,,,,,,,,,,,
,-5.7997,-81.1077,,,,,,,,,,,,,,,,,,
,-5.7869,-81.106499,,,,,,,,,,,,,,,,,,
,-5.7971,-81.107399,,,,,,,,,,,,,,,,,,
,-5.7935,-81.107599,,,,,,,,,,,,,,,,,,
,-5.8074,-81.111499,,,,,,,,,,,,,,,,,,
,-5.7853,-81.1059,,,,,,,,,,,,,,,,,,
,-5.7783,-81.1027,,,,,,,,,,,,,,,,,,
,-5.7838,-81.1052,,,,,,,,,,,,,,,,,,
,-5.164,-81.192,,,,,,,,,,,,,,,,,,
,-4.3171,-81.2823,,,,,,,,,,,,,,,,,,
,-4.3171,-81.2824,,,,,,,,,,,,,,,,,,
,-4.3171,-81.2823,,,,,,,,,,,,,,,,,,
,-4.3171,-81.2823,,,,,,,,,,,,,,,,,,
,-4.3171,-81.2823,,,,,,,,,,,,,,,,,,
,-4.3171,-81.2824,,,,,,,,,,,,,,,,,,
,-5.9025,-81.169899,,,,,,,,,,,,,,,,,,
,-5.9018,-81.170099,,,,,,,,,,,,,,,,,,
,-5.1467,-81.1997,,,,,,,,,,,,,,,,,,
,-5.1466,-81.1997,,,,,,,,,,,,,,,,,,
,-5.1475,-81.1995,,,,,,,,,,,,,,,,,,
,-5.7769,-81.101999,,,,,,,,,,,,,,,,,,
,-5.9544,-81.1728,,,,,,,,,,,,,,,,,,
,-5.801,-81.108299,,,,,,,,,,,,,,,,,,
,-5.2489,-81.1882,,,,,,,,,,,,,,,,,,
,-5.9026,-81.17,,,,,,,,,,,,,,,,,,
,-5.9026,-81.17,,,,,,,,,,,,,,,,,,
,-5.9026,-81.170099,,,,,,,,,,,,,,,,,,
,-5.9025,-81.170099,,,,,,,,,,,,,,,,,,
,-5.9026,-81.170099,,,,,,,,,,,,,,,,,,
,-5.9026,-81.170099,,,,,,,,,,,,,,,,,,
,-5.9026,-81.170099,,,,,,,,,,,,,,,,,,
,-5.9236,-81.1695,,,,,,,,,,,,,,,,,,
,-5.926,-81.1695,,,,,,,,,,,,,,,,,,
,-5.9306,-81.170099,,,,,,,,,,,,,,,,,,
,-5.9285,-81.1695,,,,,,,,,,,,,,,,,,
,-5.9056,-81.168999,,,,,,,,,,,,,,,,,,
,-5.1467,-81.199799,,,,,,,,,,,,,,,,,,
,-5.1467,-81.1999,,,,,,,,,,,,,,,,,,
,-5.1105,-81.1881,,,,,,,,,,,,,,,,,,
,-5.1083,-81.187099,,,,,,,,,,,,,,,,,,
,-5.7889,-81.107399,,,,,,,,,,,,,,,,,,
,-5.7947,-81.107899,,,,,,,,,,,,,,,,,,
,-5.7936,-81.108,,,,,,,,,,,,,,,,,,
,-5.7936,-81.107899,,,,,,,,,,,,,,,,,,
,-5.8059,-81.110799,,,,,,,,,,,,,,,,,,
,-5.8055,-81.110599,,,,,,,,,,,,,,,,,,
,-5.7874,-81.1069,,,,,,,,,,,,,,,,,,
,-5.8655,-81.160599,,,,,,,,,,,,,,,,,,
,-5.1666,-81.1933,,,,,,,,,,,,,,,,,,
,-5.9047,-81.1694,,,,,,,,,,,,,,,,,,
,-5.9027,-81.1702,,,,,,,,,,,,,,,,,,
,-5.9027,-81.1702,,,,,,,,,,,,,,,,,,
,-5.9029,-81.170099,,,,,,,,,,,,,,,,,,
,-5.921,-81.1698,,,,,,,,,,,,,,,,,,
,-5.9319,-81.170799,,,,,,,,,,,,,,,,,,
,-5.9131,-81.169899,,,,,,,,,,,,,,,,,,
,-5.9105,-81.1696,,,,,,,,,,,,,,,,,,
,-5.1467,-81.199999,,,,,,,,,,,,,,,,,,
,-5.1467,-81.2001,,,,,,,,,,,,,,,,,,
,-5.1467,-81.2001,,,,,,,,,,,,,,,,,,
,-5.1467,-81.2001,,,,,,,,,,,,,,,,,,
,-5.1467,-81.2001,,,,,,,,,,,,,,,,,,
,-5.1467,-81.2001,,,,,,,,,,,,,,,,,,
,-5.1467,-81.2001,,,,,,,,,,,,,,,,,,
,-5.1467,-81.2001,,,,,,,,,,,,,,,,,,
,-5.1467,-81.2001,,,,,,,,,,,,,,,,,,
,-5.1467,-81.2001,,,,,,,,,,,,,,,,,,
,-5.7739,-81.1001,,,,,,,,,,,,,,,,,,
,-5.7677,-81.0914,,,,,,,,,,,,,,,,,,
,-5.7917,-81.108,,,,,,,,,,,,,,,,,,
,-5.7922,-81.108099,,,,,,,,,,,,,,,,,,
,-5.7894,-81.107599,,,,,,,,,,,,,,,,,,
,-5.8016,-81.108799,,,,,,,,,,,,,,,,,,
,-5.7926,-81.108099,,,,,,,,,,,,,,,,,,
,-5.7816,-81.1048,,,,,,,,,,,,,,,,,,
,-5.8695,-81.164499,,,,,,,,,,,,,,,,,,
,-5.869,-81.1641,,,,,,,,,,,,,,,,,,
,-5.8018,-81.1089,,,,,,,,,,,,,,,,,,
,-5.1773,-81.203899,,,,,,,,,,,,,,,,,,
,-5.9028,-81.1703,,,,,,,,,,,,,,,,,,
,-5.9107,-81.1698,,,,,,,,,,,,,,,,,,
,-5.9132,-81.17,,,,,,,,,,,,,,,,,,
,-5.9284,-81.1698,,,,,,,,,,,,,,,,,,
,-5.9183,-81.170099,,,,,,,,,,,,,,,,,,
,-5.9158,-81.170099,,,,,,,,,,,,,,,,,,
,-5.9078,-81.169199,,,,,,,,,,,,,,,,,,
,-5.1472,-81.2001,,,,,,,,,,,,,,,,,,
,-5.8051,-81.1107,,,,,,,,,,,,,,,,,,
,-5.8068,-81.112,,,,,,,,,,,,,,,,,,
,-5.7889,-81.1077,,,,,,,,,,,,,,,,,,
,-5.8008,-81.108799,,,,,,,,,,,,,,,,,,
,-5.8651,-81.1607,,,,,,,,,,,,,,,,,,
,-5.174,-81.200499,,,,,,,,,,,,,,,,,,
,-5.1741,-81.2006,,,,,,,,,,,,,,,,,,
,-5.1742,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1742,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1742,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1742,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1742,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1742,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1742,-81.2008,,,,,,,,,,,,,,,,,,
,-5.177,-81.203899,,,,,,,,,,,,,,,,,,
,-5.9055,-81.1695,,,,,,,,,,,,,,,,,,
,-5.9076,-81.1695,,,,,,,,,,,,,,,,,,
,-5.9182,-81.1702,,,,,,,,,,,,,,,,,,
,-5.9334,-81.171699,,,,,,,,,,,,,,,,,,
,-5.1107,-81.1899,,,,,,,,,,,,,,,,,,
,-5.7694,-81.095199,,,,,,,,,,,,,,,,,,
,-5.7932,-81.108499,,,,,,,,,,,,,,,,,,
,-5.7764,-81.1026,,,,,,,,,,,,,,,,,,
,-5.7932,-81.1084,,,,,,,,,,,,,,,,,,
,-5.8022,-81.1094,,,,,,,,,,,,,,,,,,
,-5.804,-81.109899,,,,,,,,,,,,,,,,,,
,-5.1765,-81.2038,,,,,,,,,,,,,,,,,,
,-5.1765,-81.2036,,,,,,,,,,,,,,,,,,
,-5.174,-81.2006,,,,,,,,,,,,,,,,,,
,-5.174,-81.2006,,,,,,,,,,,,,,,,,,
,-5.174,-81.200699,,,,,,,,,,,,,,,,,,
,-5.174,-81.200699,,,,,,,,,,,,,,,,,,
,-5.1739,-81.200699,,,,,,,,,,,,,,,,,,
,-5.174,-81.200699,,,,,,,,,,,,,,,,,,
,-5.174,-81.2008,,,,,,,,,,,,,,,,,,
,-5.174,-81.200699,,,,,,,,,,,,,,,,,,
,-5.174,-81.200699,,,,,,,,,,,,,,,,,,
,-5.174,-81.200699,,,,,,,,,,,,,,,,,,
,-5.174,-81.200699,,,,,,,,,,,,,,,,,,
,-5.174,-81.2008,,,,,,,,,,,,,,,,,,
,-5.174,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1741,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1741,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1741,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1741,-81.200699,,,,,,,,,,,,,,,,,,
,-5.174,-81.200699,,,,,,,,,,,,,,,,,,
,-5.1741,-81.200699,,,,,,,,,,,,,,,,,,
,-5.1741,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1741,-81.200699,,,,,,,,,,,,,,,,,,
,-5.174,-81.200699,,,,,,,,,,,,,,,,,,
,-5.1741,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1741,-81.2008,,,,,,,,,,,,,,,,,,
,-5.174,-81.2008,,,,,,,,,,,,,,,,,,
,-5.174,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1741,-81.2008,,,,,,,,,,,,,,,,,,
,-5.1741,-81.200699,,,,,,,,,,,,,,,,,,
,-5.1741,-81.200699,,,,,,,,,,,,,,,,,,
,-5.2535,-81.1848,,,,,,,,,,,,,,,,,,
,-5.9158,-81.1705,,,,,,,,,,,,,,,,,,
,-5.7704,-81.096999,,,,,,,,,,,,,,,,,,
,-5.8018,-81.1095,,,,,,,,,,,,,,,,,,
,-5.973,-81.173999,,,,,,,,,,,,,,,,,,
,-5.2535,-81.185,,,,,,,,,,,,,,,,,,
,-5.2535,-81.185,,,,,,,,,,,,,,,,,,
,-5.9314,-81.1714,,,,,,,,,,,,,,,,,,
,-5.9032,-81.170799,,,,,,,,,,,,,,,,,,
,-5.8088,-81.1139,,,,,,,,,,,,,,,,,,
,-5.8027,-81.109899,,,,,,,,,,,,,,,,,,
,-5.7845,-81.106699,,,,,,,,,,,,,,,,,,
,-5.7895,-81.1084,,,,,,,,,,,,,,,,,,
,-5.7794,-81.1046,,,,,,,,,,,,,,,,,,
,-5.8673,-81.163599,,,,,,,,,,,,,,,,,,
