time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-15.659583,-74.936944,,,,,,,,,,,,,,,,,,
,-15.659306,-74.937778,,,,,,,,,,,,,,,,,,
,-15.659028,-74.938889,,,,,,,,,,,,,,,,,,
,-15.659028,-74.940278,,,,,,,,,,,,,,,,,,
,-15.65875,-74.941667,,,,,,,,,,,,,,,,,,
,-15.658472,-74.943611,,,,,,,,,,,,,,,,,,
,-15.658194,-74.945556,,,,,,,,,,,,,,,,,,
,-15.657917,-74.947222,,,,,,,,,,,,,,,,,,
,-15.657361,-74.949444,,,,,,,,,,,,,,,,,,
,-15.657083,-74.951667,,,,,,,,,,,,,,,,,,
,-15.655694,-74.956944,,,,,,,,,,,,,,,,,,
,-15.655417,-74.958889,,,,,,,,,,,,,,,,,,
,-15.673472,-74.938333,,,,,,,,,,,,,,,,,,
,-15.674028,-74.936111,,,,,,,,,,,,,,,,,,
,-15.674583,-74.933611,,,,,,,,,,,,,,,,,,
,-15.674583,-74.931667,,,,,,,,,,,,,,,,,,
,-15.647361,-74.945,,,,,,,,,,,,,,,,,,
,-15.648472,-74.943611,,,,,,,,,,,,,,,,,,
,-15.649861,-74.941944,,,,,,,,,,,,,,,,,,
,-15.65125,-74.940833,,,,,,,,,,,,,,,,,,
,-15.652361,-74.939722,,,,,,,,,,,,,,,,,,
,-15.653472,-74.938333,,,,,,,,,,,,,,,,,,
,-15.654583,-74.936944,,,,,,,,,,,,,,,,,,
,-15.655694,-74.935833,,,,,,,,,,,,,,,,,,
,-15.656806,-74.934722,,,,,,,,,,,,,,,,,,
,-15.657639,-74.933889,,,,,,,,,,,,,,,,,,
,-15.65875,-74.933056,,,,,,,,,,,,,,,,,,
,-15.660139,-74.932778,,,,,,,,,,,,,,,,,,
,-15.661806,-74.931944,,,,,,,,,,,,,,,,,,
,-15.664028,-74.931389,,,,,,,,,,,,,,,,,,
,-15.665972,-74.930278,,,,,,,,,,,,,,,,,,
,-15.668194,-74.929722,,,,,,,,,,,,,,,,,,
,-15.669861,-74.928889,,,,,,,,,,,,,,,,,,
,-15.671806,-74.928056,,,,,,,,,,,,,,,,,,
,-15.674306,-74.9275,,,,,,,,,,,,,,,,,,
,-15.67625,-74.926667,,,,,,,,,,,,,,,,,,
,-15.677917,-74.925833,,,,,,,,,,,,,,,,,,
,-15.679861,-74.925278,,,,,,,,,,,,,,,,,,
,-15.682361,-74.924444,,,,,,,,,,,,,,,,,,
,-15.649583,-74.958056,,,,,,,,,,,,,,,,,,
,-15.65125,-74.958333,,,,,,,,,,,,,,,,,,
,-15.654306,-74.958056,,,,,,,,,,,,,,,,,,
,-15.654583,-74.960833,,,,,,,,,,,,,,,,,,
,-15.646528,-74.966667,,,,,,,,,,,,,,,,,,
,-15.647917,-74.966389,,,,,,,,,,,,,,,,,,
,-15.649861,-74.967222,,,,,,,,,,,,,,,,,,
,-15.651806,-74.971944,,,,,,,,,,,,,,,,,,
,-15.654028,-74.9725,,,,,,,,,,,,,,,,,,
,-15.65625,-74.973333,,,,,,,,,,,,,,,,,,
,-15.65625,-74.974722,,,,,,,,,,,,,,,,,,
,-15.657639,-74.975278,,,,,,,,,,,,,,,,,,
,-15.65875,-74.975,,,,,,,,,,,,,,,,,,
,-15.659861,-74.974444,,,,,,,,,,,,,,,,,,
,-15.658194,-74.975278,,,,,,,,,,,,,,,,,,
,-15.657917,-74.976389,,,,,,,,,,,,,,,,,,
,-15.657361,-74.977778,,,,,,,,,,,,,,,,,,
,-15.657361,-74.978611,,,,,,,,,,,,,,,,,,
,-15.656806,-74.980278,,,,,,,,,,,,,,,,,,
,-15.654861,-74.983611,,,,,,,,,,,,,,,,,,
,-15.654028,-74.985278,,,,,,,,,,,,,,,,,,
,-15.65375,-74.985556,,,,,,,,,,,,,,,,,,
,-15.652639,-74.987222,,,,,,,,,,,,,,,,,,
,-15.651528,-74.989167,,,,,,,,,,,,,,,,,,
,-15.650694,-74.991389,,,,,,,,,,,,,,,,,,
,-15.649861,-74.993333,,,,,,,,,,,,,,,,,,
,-15.669583,-74.939722,,,,,,,,,,,,,,,,,,
