time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.8653,-81.1573,,,,,,,,,,,,,,,,,,
,-5.8658,-81.158099,,,,,,,,,,,,,,,,,,
,-5.7627,-81.071,,,,,,,,,,,,,,,,,,
,-5.1719,-81.194,,,,,,,,,,,,,,,,,,
,-5.157,-81.1913,,,,,,,,,,,,,,,,,,
,-5.7854,-81.104199,,,,,,,,,,,,,,,,,,
,-5.7972,-81.105799,,,,,,,,,,,,,,,,,,
,-5.7931,-81.1061,,,,,,,,,,,,,,,,,,
,-5.8022,-81.107,,,,,,,,,,,,,,,,,,
,-5.8034,-81.107199,,,,,,,,,,,,,,,,,,
,-5.7833,-81.1034,,,,,,,,,,,,,,,,,,
,-5.773,-81.096299,,,,,,,,,,,,,,,,,,
,-5.7937,-81.1061,,,,,,,,,,,,,,,,,,
,-5.7876,-81.105,,,,,,,,,,,,,,,,,,
,-5.7941,-81.1061,,,,,,,,,,,,,,,,,,
,-5.8644,-81.155899,,,,,,,,,,,,,,,,,,
,-5.8654,-81.1576,,,,,,,,,,,,,,,,,,
,-5.8516,-81.1476,,,,,,,,,,,,,,,,,,
,-5.8865,-81.1711,,,,,,,,,,,,,,,,,,
,-5.8627,-81.1541,,,,,,,,,,,,,,,,,,
,-5.1494,-81.1969,,,,,,,,,,,,,,,,,,
,-5.879,-81.1687,,,,,,,,,,,,,,,,,,
,-5.8878,-81.171299,,,,,,,,,,,,,,,,,,
,-5.8677,-81.160399,,,,,,,,,,,,,,,,,,
,-5.8615,-81.1535,,,,,,,,,,,,,,,,,,
,-5.8676,-81.160399,,,,,,,,,,,,,,,,,,
,-5.8026,-81.107199,,,,,,,,,,,,,,,,,,
,-5.8029,-81.1073,,,,,,,,,,,,,,,,,,
,-5.7842,-81.1039,,,,,,,,,,,,,,,,,,
,-5.8178,-81.1189,,,,,,,,,,,,,,,,,,
,-5.7919,-81.1062,,,,,,,,,,,,,,,,,,
,-5.8178,-81.1184,,,,,,,,,,,,,,,,,,
,-5.9793,-81.172,,,,,,,,,,,,,,,,,,
,-5.8489,-81.146999,,,,,,,,,,,,,,,,,,
,-5.8601,-81.1528,,,,,,,,,,,,,,,,,,
,-5.9685,-81.170399,,,,,,,,,,,,,,,,,,
,-5.9488,-81.171699,,,,,,,,,,,,,,,,,,
,-5.894,-81.170999,,,,,,,,,,,,,,,,,,
,-5.141,-81.2006,,,,,,,,,,,,,,,,,,
,-5.8608,-81.1533,,,,,,,,,,,,,,,,,,
,-5.8799,-81.1696,,,,,,,,,,,,,,,,,,
,-5.8678,-81.1607,,,,,,,,,,,,,,,,,,
,-5.8641,-81.156,,,,,,,,,,,,,,,,,,
,-5.8021,-81.107199,,,,,,,,,,,,,,,,,,
