time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-10.5391,-78.1583,,,,,,,,,,,,,,,,,,
,-10.9863,-77.8853,,,,,,,,,,,,,,,,,,
,-11.0136,-77.9593,,,,,,,,,,,,,,,,,,
,-10.9739,-77.9651,,,,,,,,,,,,,,,,,,
,-10.9319,-77.9184,,,,,,,,,,,,,,,,,,
,-10.3186,-78.2258,,,,,,,,,,,,,,,,,,
,-10.4378,-78.109,,,,,,,,,,,,,,,,,,
,-11.0679,-77.8626,,,,,,,,,,,,,,,,,,
,-10.6203,-78.0382,,,,,,,,,,,,,,,,,,
,-11.6821,-77.5294,,,,,,,,,,,,,,,,,,
,-12.0031,-77.3632,,,,,,,,,,,,,,,,,,
,-11.1197,-77.9518,,,,,,,,,,,,,,,,,,
,-11.4806,-77.8725,,,,,,,,,,,,,,,,,,
,-11.3786,-77.877,,,,,,,,,,,,,,,,,,
,-12.2865,-77.206,,,,,,,,,,,,,,,,,,
,-12.2522,-77.4412,,,,,,,,,,,,,,,,,,
,-11.9789,-77.3611,,,,,,,,,,,,,,,,,,
,-12.4486,-77.5437,,,,,,,,,,,,,,,,,,
,-12.4059,-77.5453,,,,,,,,,,,,,,,,,,
,-12.4967,-77.1163,,,,,,,,,,,,,,,,,,
,-12.5198,-77.208,,,,,,,,,,,,,,,,,,
,-12.2875,-77.3573,,,,,,,,,,,,,,,,,,
,-12.3753,-77.0665,,,,,,,,,,,,,,,,,,
,-12.344,-77.0749,,,,,,,,,,,,,,,,,,
,-12.3482,-77.1123,,,,,,,,,,,,,,,,,,
,-12.3245,-77.144,,,,,,,,,,,,,,,,,,
,-11.3521,-77.818,,,,,,,,,,,,,,,,,,
,-11.386,-77.8121,,,,,,,,,,,,,,,,,,
,-11.4194,-77.8038,,,,,,,,,,,,,,,,,,
,-11.5304,-77.6873,,,,,,,,,,,,,,,,,,
,-11.384,-77.8818,,,,,,,,,,,,,,,,,,
,-11.6075,-77.6836,,,,,,,,,,,,,,,,,,
,-11.5972,-77.7057,,,,,,,,,,,,,,,,,,
,-11.6093,-77.522,,,,,,,,,,,,,,,,,,
,-11.6474,-77.6555,,,,,,,,,,,,,,,,,,
,-11.617,-77.6671,,,,,,,,,,,,,,,,,,
,-11.5833333333333,-77.7,,,,,,,,,,,,,,,,,,
,-11.7166666666667,-77.5166666666667,,,,,,,,,,,,,,,,,,
,-11.6833333333333,-77.4166666666667,,,,,,,,,,,,,,,,,,
,-11.9417,-77.4654,,,,,,,,,,,,,,,,,,
,-11.8551,-77.5024,,,,,,,,,,,,,,,,,,
,-14.6329,-76.0973,,,,,,,,,,,,,,,,,,
,-14.6013,-76.1028,,,,,,,,,,,,,,,,,,
,-11.8608,-77.5765,,,,,,,,,,,,,,,,,,
,-11.8632,-77.5535,,,,,,,,,,,,,,,,,,
,-11.879,-77.5353,,,,,,,,,,,,,,,,,,
,-11.9017,-77.5282,,,,,,,,,,,,,,,,,,
,-14.2724,-76.4364,,,,,,,,,,,,,,,,,,
,-14.1819,-76.438,,,,,,,,,,,,,,,,,,
,-14.2007,-76.5173,,,,,,,,,,,,,,,,,,
,-13.1776,-76.596,,,,,,,,,,,,,,,,,,
,-13.1688,-76.5595,,,,,,,,,,,,,,,,,,
,-13.1519,-76.5146,,,,,,,,,,,,,,,,,,
