time;latitude;longitude;depth;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
;-9.117083;-78.682222;;;;;;;;;;;;;;;;;;
;-9.101806;-78.702778;;;;;;;;;;;;;;;;;;
;-9.096806;-78.690278;;;;;;;;;;;;;;;;;;
;-9.102361;-78.704444;;;;;;;;;;;;;;;;;;
;-9.074583;-78.734722;;;;;;;;;;;;;;;;;;
;-9.135972;-78.7025;;;;;;;;;;;;;;;;;;
;-9.120417;-78.686111;;;;;;;;;;;;;;;;;;
;-9.151806;-78.6875;;;;;;;;;;;;;;;;;;
;-8.961806;-78.7975;;;;;;;;;;;;;;;;;;
;-8.900417;-78.793056;;;;;;;;;;;;;;;;;;
;-8.813472;-78.8375;;;;;;;;;;;;;;;;;;
;-8.937361;-78.794722;;;;;;;;;;;;;;;;;;
;-8.932083;-78.7725;;;;;;;;;;;;;;;;;;
;-9.14375;-78.683611;;;;;;;;;;;;;;;;;;
;-9.147083;-78.695278;;;;;;;;;;;;;;;;;;
;-9.040417;-78.807778;;;;;;;;;;;;;;;;;;
;-4.98875;-81.169722;;;;;;;;;;;;;;;;;;
;-4.984306;-81.168333;;;;;;;;;;;;;;;;;;
;-4.953194;-81.213611;;;;;;;;;;;;;;;;;;
;-4.971806;-81.214444;;;;;;;;;;;;;;;;;;
;-4.952361;-81.197778;;;;;;;;;;;;;;;;;;
;-5.002083;-81.170833;;;;;;;;;;;;;;;;;;
;-4.92875;-81.208889;;;;;;;;;;;;;;;;;;
;-4.970972;-81.174167;;;;;;;;;;;;;;;;;;
;-5.01875;-81.18;;;;;;;;;;;;;;;;;;
;-4.984861;-81.173889;;;;;;;;;;;;;;;;;;
;-4.994028;-81.163889;;;;;;;;;;;;;;;;;;
;-5.015139;-81.1475;;;;;;;;;;;;;;;;;;
;-5.007917;-81.144167;;;;;;;;;;;;;;;;;;
;-5.00375;-81.213889;;;;;;;;;;;;;;;;;;
;-5.015417;-81.141667;;;;;;;;;;;;;;;;;;
;-9.1243;-78.6791;;;;;;;;;;;;;;;;;;
;-9.1169;-78.6775;;;;;;;;;;;;;;;;;;
;-9.0931;-78.7071;;;;;;;;;;;;;;;;;;
;-9.0842;-78.7224;;;;;;;;;;;;;;;;;;
;-9.1423;-78.698199;;;;;;;;;;;;;;;;;;
;-9.1212;-78.684599;;;;;;;;;;;;;;;;;;
;-9.1274;-78.683499;;;;;;;;;;;;;;;;;;
;-8.9087;-78.7925;;;;;;;;;;;;;;;;;;
;-8.8419;-78.8279;;;;;;;;;;;;;;;;;;
;-8.9329;-78.7627;;;;;;;;;;;;;;;;;;
;-8.9461;-78.776;;;;;;;;;;;;;;;;;;
;-9.1446;-78.7201;;;;;;;;;;;;;;;;;;
;-4.9411;-81.2192;;;;;;;;;;;;;;;;;;
;-4.9623;-81.209799;;;;;;;;;;;;;;;;;;
;-5.0065;-81.142699;;;;;;;;;;;;;;;;;;
;-4.9807;-81.204299;;;;;;;;;;;;;;;;;;
;-4.9885;-81.1788;;;;;;;;;;;;;;;;;;
;-4.974;-81.2205;;;;;;;;;;;;;;;;;;
;-5.0125;-81.1755;;;;;;;;;;;;;;;;;;
;-4.9338;-81.2416;;;;;;;;;;;;;;;;;;
;-4.9775;-81.1832;;;;;;;;;;;;;;;;;;
;-9.0824;-78.6924;;;;;;;;;;;;;;;;;;
;-9.0978;-78.7051;;;;;;;;;;;;;;;;;;
;-9.1138;-78.6943;;;;;;;;;;;;;;;;;;
;-9.0451;-78.739199;;;;;;;;;;;;;;;;;;
;-9.103;-78.718099;;;;;;;;;;;;;;;;;;
;-4.9552;-81.210899;;;;;;;;;;;;;;;;;;
;-4.9792;-81.210699;;;;;;;;;;;;;;;;;;
;-4.9854;-81.1594;;;;;;;;;;;;;;;;;;
;-4.9907;-81.1732;;;;;;;;;;;;;;;;;;
;-4.9978;-81.162699;;;;;;;;;;;;;;;;;;
;-5.0172;-81.1639;;;;;;;;;;;;;;;;;;
;-4.9726;-81.1802;;;;;;;;;;;;;;;;;;
;-4.9952;-81.152499;;;;;;;;;;;;;;;;;;
;-4.9408;-81.227899;;;;;;;;;;;;;;;;;;
;-4.97;-81.1836;;;;;;;;;;;;;;;;;;
;-4.9796;-81.170799;;;;;;;;;;;;;;;;;;
;-4.9949;-81.1567;;;;;;;;;;;;;;;;;;
;-4.9335;-81.233;;;;;;;;;;;;;;;;;;
;-4.9999;-81.155199;;;;;;;;;;;;;;;;;;
;-4.9834;-81.188899;;;;;;;;;;;;;;;;;;
;-4.9907;-81.1707;;;;;;;;;;;;;;;;;;
;-4.9662;-81.1809;;;;;;;;;;;;;;;;;;
;-4.962;-81.1721;;;;;;;;;;;;;;;;;;
;-4.9813;-81.159299;;;;;;;;;;;;;;;;;;
;-5.0207;-81.1519;;;;;;;;;;;;;;;;;;
;-4.9447;-81.205899;;;;;;;;;;;;;;;;;;
;-4.994;-81.162699;;;;;;;;;;;;;;;;;;
;-4.9246;-81.2441;;;;;;;;;;;;;;;;;;
;-4.9699;-81.209499;;;;;;;;;;;;;;;;;;
;-4.973;-81.1739;;;;;;;;;;;;;;;;;;
;-4.9983;-81.163099;;;;;;;;;;;;;;;;;;
;-4.993;-81.1664;;;;;;;;;;;;;;;;;;
;-4.9893;-81.159299;;;;;;;;;;;;;;;;;;
;-4.9927;-81.162199;;;;;;;;;;;;;;;;;;
;-4.9972;-81.184199;;;;;;;;;;;;;;;;;;
;-5.0001;-81.1469;;;;;;;;;;;;;;;;;;
;-4.9344;-81.216799;;;;;;;;;;;;;;;;;;
;-4.9578;-81.189799;;;;;;;;;;;;;;;;;;
;-4.9718;-81.178499;;;;;;;;;;;;;;;;;;
;-4.9595;-81.197;;;;;;;;;;;;;;;;;;
;-5.007;-81.1872;;;;;;;;;;;;;;;;;;
;-4.9884;-81.1777;;;;;;;;;;;;;;;;;;
;-5.0023;-81.203399;;;;;;;;;;;;;;;;;;
;-5.0032;-81.1831;;;;;;;;;;;;;;;;;;
;-5.0051;-81.1626;;;;;;;;;;;;;;;;;;
