time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-4.9231,-81.2423,,,,,,,,,,,,,,,,,,
,-4.9242,-81.2411,,,,,,,,,,,,,,,,,,
,-4.9253,-81.239899,,,,,,,,,,,,,,,,,,
,-4.9266,-81.2389,,,,,,,,,,,,,,,,,,
,-4.9277,-81.2378,,,,,,,,,,,,,,,,,,
,-4.9288,-81.236699,,,,,,,,,,,,,,,,,,
,-4.93,-81.2355,,,,,,,,,,,,,,,,,,
,-4.9309,-81.2341,,,,,,,,,,,,,,,,,,
,-4.9321,-81.2328,,,,,,,,,,,,,,,,,,
,-4.933,-81.2314,,,,,,,,,,,,,,,,,,
,-4.9686,-81.1723,,,,,,,,,,,,,,,,,,
,-4.9696,-81.172399,,,,,,,,,,,,,,,,,,
,-4.9705,-81.1728,,,,,,,,,,,,,,,,,,
,-4.9717,-81.1732,,,,,,,,,,,,,,,,,,
,-4.9727,-81.173499,,,,,,,,,,,,,,,,,,
,-4.9737,-81.1739,,,,,,,,,,,,,,,,,,
,-4.9747,-81.1745,,,,,,,,,,,,,,,,,,
,-4.9753,-81.174699,,,,,,,,,,,,,,,,,,
,-4.9639,-81.1757,,,,,,,,,,,,,,,,,,
,-4.965,-81.175599,,,,,,,,,,,,,,,,,,
,-4.9663,-81.1755,,,,,,,,,,,,,,,,,,
,-4.9679,-81.1753,,,,,,,,,,,,,,,,,,
,-4.9695,-81.174899,,,,,,,,,,,,,,,,,,
,-4.9708,-81.1746,,,,,,,,,,,,,,,,,,
,-4.9721,-81.174399,,,,,,,,,,,,,,,,,,
,-4.9733,-81.174199,,,,,,,,,,,,,,,,,,
,-4.9745,-81.1738,,,,,,,,,,,,,,,,,,
,-4.9757,-81.173499,,,,,,,,,,,,,,,,,,
,-4.977,-81.1732,,,,,,,,,,,,,,,,,,
,-4.9783,-81.1729,,,,,,,,,,,,,,,,,,
,-4.9795,-81.1725,,,,,,,,,,,,,,,,,,
,-4.9718,-81.1938,,,,,,,,,,,,,,,,,,
,-4.9729,-81.1933,,,,,,,,,,,,,,,,,,
,-4.9739,-81.1926,,,,,,,,,,,,,,,,,,
,-4.9747,-81.1925,,,,,,,,,,,,,,,,,,
,-4.9749,-81.1922,,,,,,,,,,,,,,,,,,
,-4.9755,-81.1918,,,,,,,,,,,,,,,,,,
,-4.9755,-81.1916,,,,,,,,,,,,,,,,,,
,-5.0009,-81.162399,,,,,,,,,,,,,,,,,,
,-5.0012,-81.1619,,,,,,,,,,,,,,,,,,
,-5.0017,-81.1617,,,,,,,,,,,,,,,,,,
,-5.0023,-81.1616,,,,,,,,,,,,,,,,,,
,-5.0026,-81.161499,,,,,,,,,,,,,,,,,,
,-5.003,-81.161099,,,,,,,,,,,,,,,,,,
,-5.0034,-81.161,,,,,,,,,,,,,,,,,,
,-4.9725,-81.1755,,,,,,,,,,,,,,,,,,
,-4.9744,-81.174199,,,,,,,,,,,,,,,,,,
,-4.9762,-81.1732,,,,,,,,,,,,,,,,,,
,-4.9775,-81.1729,,,,,,,,,,,,,,,,,,
,-4.9784,-81.1728,,,,,,,,,,,,,,,,,,
,-4.9793,-81.172399,,,,,,,,,,,,,,,,,,
,-4.9793,-81.1721,,,,,,,,,,,,,,,,,,
,-4.9761,-81.1816,,,,,,,,,,,,,,,,,,
,-4.9782,-81.180999,,,,,,,,,,,,,,,,,,
,-4.9804,-81.180799,,,,,,,,,,,,,,,,,,
,-4.9824,-81.1806,,,,,,,,,,,,,,,,,,
,-4.9843,-81.1804,,,,,,,,,,,,,,,,,,
,-4.9864,-81.1802,,,,,,,,,,,,,,,,,,
,-4.9885,-81.180099,,,,,,,,,,,,,,,,,,
,-4.9847,-81.1551,,,,,,,,,,,,,,,,,,
,-4.9857,-81.1553,,,,,,,,,,,,,,,,,,
,-4.9865,-81.155399,,,,,,,,,,,,,,,,,,
,-4.9869,-81.1555,,,,,,,,,,,,,,,,,,
,-4.9871,-81.1553,,,,,,,,,,,,,,,,,,
,-4.9875,-81.155399,,,,,,,,,,,,,,,,,,
,-4.9881,-81.1546,,,,,,,,,,,,,,,,,,
,-4.9188,-81.225199,,,,,,,,,,,,,,,,,,
,-4.9206,-81.2244,,,,,,,,,,,,,,,,,,
,-4.9225,-81.2235,,,,,,,,,,,,,,,,,,
,-4.9243,-81.2226,,,,,,,,,,,,,,,,,,
,-4.9261,-81.2216,,,,,,,,,,,,,,,,,,
,-4.9278,-81.2205,,,,,,,,,,,,,,,,,,
,-4.9295,-81.219499,,,,,,,,,,,,,,,,,,
