time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
,-5.0928,-81.4223,,,,,,,,,,,,,,,,,,
,-5.0909,-81.4238,,,,,,,,,,,,,,,,,,
,-5.0923,-81.422599,,,,,,,,,,,,,,,,,,
,-5.1062,-81.4259,,,,,,,,,,,,,,,,,,
,-5.1119,-81.427,,,,,,,,,,,,,,,,,,
,-5.1175,-81.4266,,,,,,,,,,,,,,,,,,
,-5.1234,-81.427399,,,,,,,,,,,,,,,,,,
,-5.1293,-81.4289,,,,,,,,,,,,,,,,,,
,-5.135,-81.4298,,,,,,,,,,,,,,,,,,
,-5.1404,-81.429899,,,,,,,,,,,,,,,,,,
,-5.1463,-81.4295,,,,,,,,,,,,,,,,,,
,-5.1515,-81.4271,,,,,,,,,,,,,,,,,,
,-5.1571,-81.4275,,,,,,,,,,,,,,,,,,
,-5.1628,-81.4296,,,,,,,,,,,,,,,,,,
,-5.168,-81.432599,,,,,,,,,,,,,,,,,,
,-5.1734,-81.4336,,,,,,,,,,,,,,,,,,
,-5.1732,-81.434,,,,,,,,,,,,,,,,,,
,-5.1701,-81.4345,,,,,,,,,,,,,,,,,,
,-5.1682,-81.4345,,,,,,,,,,,,,,,,,,
,-5.1661,-81.4382,,,,,,,,,,,,,,,,,,
,-5.1216,-81.400699,,,,,,,,,,,,,,,,,,
,-5.1351,-81.4031,,,,,,,,,,,,,,,,,,
,-5.1407,-81.4031,,,,,,,,,,,,,,,,,,
,-5.1463,-81.402899,,,,,,,,,,,,,,,,,,
,-5.1519,-81.4021,,,,,,,,,,,,,,,,,,
,-5.1575,-81.4026,,,,,,,,,,,,,,,,,,
,-5.1632,-81.4032,,,,,,,,,,,,,,,,,,
,-5.1687,-81.4026,,,,,,,,,,,,,,,,,,
,-5.1743,-81.4039,,,,,,,,,,,,,,,,,,
,-5.18,-81.4041,,,,,,,,,,,,,,,,,,
,-5.1857,-81.404699,,,,,,,,,,,,,,,,,,
,-5.1913,-81.404299,,,,,,,,,,,,,,,,,,
,-5.1971,-81.4057,,,,,,,,,,,,,,,,,,
,-5.203,-81.4058,,,,,,,,,,,,,,,,,,
,-5.2088,-81.406799,,,,,,,,,,,,,,,,,,
,-5.2146,-81.4075,,,,,,,,,,,,,,,,,,
,-5.2198,-81.411,,,,,,,,,,,,,,,,,,
,-5.2251,-81.413999,,,,,,,,,,,,,,,,,,
,-5.2232,-81.414499,,,,,,,,,,,,,,,,,,
,-5.2202,-81.4132,,,,,,,,,,,,,,,,,,
,-5.2184,-81.414899,,,,,,,,,,,,,,,,,,
,-5.2161,-81.4178,,,,,,,,,,,,,,,,,,
,-5.2084,-81.411099,,,,,,,,,,,,,,,,,,
