longitude,latitude,altitude
-109.2344,-9.04237,0
-105.87857,-8.94987,0
-106.04023,-9.83031,0
-109.15506,-9.03629,0
-109.19583,-8.9501,0
-108.83554,-8.45265,0
-106.03835,-9.77182,0
-106.02348,-9.83867,0
-106.03286,-9.29313,0
-107.95727,-13.03166,0
-109.2011,-8.94976,0
-108.81796,-8.4491,0
-106.04047,-10.00692,0
-106.03772,-9.69713,0
-107.98942,-13.4436,0
-109.20888,-8.94892,0
-109.11865,-8.85996,0
-109.23931,-8.71424,0
-105.91943,-8.89128,0
-106.05203,-9.29755,0
-109.09805,-8.87878,0
-109.05559,-8.74559,0
-108.03652,-13.84885,0
-107.97586,-13.00446,0
-107.94876,-13.03104,0
-108.02172,-13.89477,0
-109.12894,-8.75755,0
-109.19153,-8.95014,0
-109.0482,-8.83424,0
-106.03845,-9.82918,0
-107.94061,-13.03063,0
-107.98968,-13.18477,0
-109.22664,-8.85056,0
-108.72391,-8.03113,0
-105.95826,-7.8533,0
-106.04393,-8.91866,0
-105.89765,-9.24717,0
-106.04837,-8.97173,0
-108.03924,-13.86291,0
-108.80967,-8.44629,0
-109.17621,-8.13607,0
-108.72429,-8.69663,0
-106.04875,-10.00171,0
-106.18676,-8.0269,0
-109.08128,-8.83833,0
-108.8255,-8.45083,0
-109.01617,-9.12852,0
-109.33676,-8.55699,0
-108.72849,-8.65159,0
-106.03799,-8.9832,0
-109.14839,-8.66032,0
-109.12981,-8.70449,0
-109.18518,-8.13833,0
-106.03885,-8.9244,0
-107.99417,-12.99806,0
-109.10523,-8.87103,0
-109.12027,-9.04804,0
-109.00121,-8.80161,0
-108.74208,-8.03037,0
-105.98085,-8.23829,0
-109.20519,-9.05238,0
-109.24698,-9.03905,0
-105.98878,-8.69237,0
-105.90263,-9.26648,0
-109.12743,-8.85354,0
-109.13733,-8.7293,0
-109.1653,-8.13307,0
-108.03281,-13.96628,0
-109.13363,-8.66433,0
-109.19808,-9.06963,0
-109.17794,-9.06875,0
-109.13259,-8.68057,0
-109.09315,-8.84185,0
-109.10433,-8.84464,0
-109.0154,-9.10743,0
-109.10896,-8.88733,0
-108.73043,-8.03059,0
-109.13547,-8.12665,0
-109.14859,-8.12926,0
-108.0059,-12.9947,0
-108.84758,-8.77974,0
-109.32929,-8.5614,0
-108.03219,-13.88503,0
-108.02224,-13.02747,0
-107.97966,-13.04005,0
-105.97361,-7.84524,0
-106.05051,-9.4397,0
-106.04685,-8.81828,0
-109.12313,-8.66773,0
-109.13018,-8.92835,0
-109.20824,-8.93368,0
-109.0238,-8.95041,0
-108.73414,-8.44673,0
-109.2033,-8.90635,0
-108.8576,-8.45682,0
-108.73107,-8.57713,0
-106.05379,-8.98493,0
-105.95275,-8.71454,0
-105.99224,-8.50589,0
-108.01951,-13.19805,0
-109.22274,-9.04585,0
-109.23435,-8.60198,0
-109.20917,-8.82286,0
-109.16762,-8.6394,0
-106.03696,-9.63133,0
-106.04465,-9.97788,0
-108.98645,-8.85156,0
-105.98501,-9.09032,0
-80.50793,-17.87943,0
-81.63687,-16.89457,0
-79.87069,-18.00713,0
-79.26196,-18.18011,0
-81.63333,-16.95156,0
-82.03223,-16.98863,0
-104.51488,-2.24905,0
-79.78222,-18.74262,0
-79.76789,-18.78166,0
-79.38973,-18.01494,0
-79.18169,-18.12729,0
-79.1846,-18.12166,0
-79.21019,-18.07137,0
-79.19707,-18.19341,0
-79.18287,-18.23249,0
-102.93216,-2.96034,0
-102.88093,-2.98618,0
-104.87272,-1.28039,0
-102.53224,-3.15307,0
-104.83515,0.38961,0
-102.53467,-2.23601,0
-102.41539,-3.09836,0
-101.32743,-3.3116,0
-101.96308,-1.46946,0
-103.55412,0.37187,0
-102.42425,-1.39856,0
-101.42425,-2.96071,0
-101.42834,-2.95892,0
-101.9583,-1.47206,0
-103.56155,0.30486,0
-103.5569,0.36427,0
-103.55235,0.37742,0
-103.92145,-0.02215,0
-102.94031,-1.36341,0
-103.50046,0.28959,0
-101.44796,-3.65712,0
-103.69847,-1.18201,0
-103.65622,0.2001,0
-104.15347,-0.14907,0
-103.56415,0.30755,0
-103.45348,0.24767,0
-102.89752,-1.33503,0
-101.6728,-3.34703,0
-102.18762,-2.18114,0
-102.89926,-1.33693,0
-102.74331,-1.23561,0
-103.61078,-1.39295,0
-104.15034,-0.15932,0
-101.54597,-3.44213,0
-102.41297,-1.38488,0
-103.62761,-1.37849,0
-103.78226,0.02168,0
-102.68637,-1.26117,0
-103.74114,-1.11963,0
-103.5094,0.30047,0
-101.59658,-3.04005,0
-102.74373,-1.83263,0
-102.36916,-1.40199,0
-103.75738,-1.11398,0
-103.65503,-1.19027,0
-79.79618,-18.5815,0
-79.81156,-18.6733,0
-79.82139,-18.64996,0
-79.64973,-18.78553,0
-79.7358,-18.68947,0
-79.75245,-18.15285,0
-79.03142,-18.02416,0
-79.03237,-18.0175,0
-79.80046,-18.59121,0
-79.83701,-18.62328,0
-79.73897,-18.69108,0
-79.87986,-18.01444,0
-79.85401,-18.06195,0
-79.30574,-18.16553,0
-79.7172,-18.10867,0
-79.82388,-18.64218,0
-79.83415,-18.6303,0
-79.86164,-18.72814,0
-79.81115,-18.07968,0
-79.87672,-18.01593,0
-79.79467,-18.59818,0
-79.76346,-18.72034,0
-79.78328,-18.69953,0
-79.7051,-18.73973,0
-79.71983,-18.70732,0
-79.82977,-18.05538,0
-79.87092,-18.01974,0
-79.28622,-18.21253,0
-79.03571,-18.0088,0
-79.80209,-18.08633,0
-79.80582,-18.0833,0
-79.88227,-18.01171,0
-79.76802,-18.71561,0
-79.77017,-18.71417,0
-79.70712,-18.78675,0
-79.81497,-18.07643,0
-79.86252,-18.04196,0
-79.23109,-18.1584,0
-79.75512,-18.14426,0
-79.91882,-17.99247,0
-79.39073,-18.06524,0
-79.71873,-18.10387,0
-79.72303,-18.70109,0
-79.89642,-18.00698,0
-79.28054,-18.21588,0
-79.85623,-18.05753,0
-79.71662,-18.12323,0
-79.30705,-18.16189,0
-79.82805,-18.40531,0
-79.88999,-19.05263,0
-77.71902,-19.58538,0
-79.82201,-18.42217,0
-79.63413,-18.79869,0
-79.86387,-18.72556,0
-79.77806,-17.98349,0
-79.99185,-19.00089,0
-79.99877,-18.99712,0
-79.1907,-18.23262,0
-77.93946,-19.33755,0
-79.74845,-18.12663,0
-79.90945,-17.98585,0
-79.76208,-18.69796,0
-79.84407,-17.72612,0
-79.92244,-17.69412,0
