time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magNst,status,locationSource,magSource
,-9.04237,-109.2344,,,,,,,,,,,,,,,,,
,-8.94987,-105.87857,,,,,,,,,,,,,,,,,
,-9.83031,-106.04023,,,,,,,,,,,,,,,,,
,-9.03629,-109.15506,,,,,,,,,,,,,,,,,
,-8.9501,-109.19583,,,,,,,,,,,,,,,,,
,-8.45265,-108.83554,,,,,,,,,,,,,,,,,
,-9.77182,-106.03835,,,,,,,,,,,,,,,,,
,-9.83867,-106.02348,,,,,,,,,,,,,,,,,
,-9.29313,-106.03286,,,,,,,,,,,,,,,,,
,-13.03166,-107.95727,,,,,,,,,,,,,,,,,
,-8.94976,-109.2011,,,,,,,,,,,,,,,,,
,-8.4491,-108.81796,,,,,,,,,,,,,,,,,
,-10.00692,-106.04047,,,,,,,,,,,,,,,,,
,-9.69713,-106.03772,,,,,,,,,,,,,,,,,
,-13.4436,-107.98942,,,,,,,,,,,,,,,,,
,-8.94892,-109.20888,,,,,,,,,,,,,,,,,
,-8.85996,-109.11865,,,,,,,,,,,,,,,,,
,-8.71424,-109.23931,,,,,,,,,,,,,,,,,
,-8.89128,-105.91943,,,,,,,,,,,,,,,,,
,-9.29755,-106.05203,,,,,,,,,,,,,,,,,
,-8.87878,-109.09805,,,,,,,,,,,,,,,,,
,-8.74559,-109.05559,,,,,,,,,,,,,,,,,
,-13.84885,-108.03652,,,,,,,,,,,,,,,,,
,-13.00446,-107.97586,,,,,,,,,,,,,,,,,
,-13.03104,-107.94876,,,,,,,,,,,,,,,,,
,-13.89477,-108.02172,,,,,,,,,,,,,,,,,
,-8.75755,-109.12894,,,,,,,,,,,,,,,,,
,-8.95014,-109.19153,,,,,,,,,,,,,,,,,
,-8.83424,-109.0482,,,,,,,,,,,,,,,,,
,-9.82918,-106.03845,,,,,,,,,,,,,,,,,
,-13.03063,-107.94061,,,,,,,,,,,,,,,,,
,-13.18477,-107.98968,,,,,,,,,,,,,,,,,
,-8.85056,-109.22664,,,,,,,,,,,,,,,,,
,-8.03113,-108.72391,,,,,,,,,,,,,,,,,
,-7.8533,-105.95826,,,,,,,,,,,,,,,,,
,-8.91866,-106.04393,,,,,,,,,,,,,,,,,
,-9.24717,-105.89765,,,,,,,,,,,,,,,,,
,-8.97173,-106.04837,,,,,,,,,,,,,,,,,
,-13.86291,-108.03924,,,,,,,,,,,,,,,,,
,-8.44629,-108.80967,,,,,,,,,,,,,,,,,
,-8.13607,-109.17621,,,,,,,,,,,,,,,,,
,-8.69663,-108.72429,,,,,,,,,,,,,,,,,
,-10.00171,-106.04875,,,,,,,,,,,,,,,,,
,-8.0269,-106.18676,,,,,,,,,,,,,,,,,
,-8.83833,-109.08128,,,,,,,,,,,,,,,,,
,-8.45083,-108.8255,,,,,,,,,,,,,,,,,
,-9.12852,-109.01617,,,,,,,,,,,,,,,,,
,-8.55699,-109.33676,,,,,,,,,,,,,,,,,
,-8.65159,-108.72849,,,,,,,,,,,,,,,,,
,-8.9832,-106.03799,,,,,,,,,,,,,,,,,
,-8.66032,-109.14839,,,,,,,,,,,,,,,,,
,-8.70449,-109.12981,,,,,,,,,,,,,,,,,
,-8.13833,-109.18518,,,,,,,,,,,,,,,,,
,-8.9244,-106.03885,,,,,,,,,,,,,,,,,
,-12.99806,-107.99417,,,,,,,,,,,,,,,,,
,-8.87103,-109.10523,,,,,,,,,,,,,,,,,
,-9.04804,-109.12027,,,,,,,,,,,,,,,,,
,-8.80161,-109.00121,,,,,,,,,,,,,,,,,
,-8.03037,-108.74208,,,,,,,,,,,,,,,,,
,-8.23829,-105.98085,,,,,,,,,,,,,,,,,
,-9.05238,-109.20519,,,,,,,,,,,,,,,,,
,-9.03905,-109.24698,,,,,,,,,,,,,,,,,
,-8.69237,-105.98878,,,,,,,,,,,,,,,,,
,-9.26648,-105.90263,,,,,,,,,,,,,,,,,
,-8.85354,-109.12743,,,,,,,,,,,,,,,,,
,-8.7293,-109.13733,,,,,,,,,,,,,,,,,
,-8.13307,-109.1653,,,,,,,,,,,,,,,,,
,-13.96628,-108.03281,,,,,,,,,,,,,,,,,
,-8.66433,-109.13363,,,,,,,,,,,,,,,,,
,-9.06963,-109.19808,,,,,,,,,,,,,,,,,
,-9.06875,-109.17794,,,,,,,,,,,,,,,,,
,-8.68057,-109.13259,,,,,,,,,,,,,,,,,
,-8.84185,-109.09315,,,,,,,,,,,,,,,,,
,-8.84464,-109.10433,,,,,,,,,,,,,,,,,
,-9.10743,-109.0154,,,,,,,,,,,,,,,,,
,-8.88733,-109.10896,,,,,,,,,,,,,,,,,
,-8.03059,-108.73043,,,,,,,,,,,,,,,,,
,-8.12665,-109.13547,,,,,,,,,,,,,,,,,
,-8.12926,-109.14859,,,,,,,,,,,,,,,,,
,-12.9947,-108.0059,,,,,,,,,,,,,,,,,
,-8.77974,-108.84758,,,,,,,,,,,,,,,,,
,-8.5614,-109.32929,,,,,,,,,,,,,,,,,
,-13.88503,-108.03219,,,,,,,,,,,,,,,,,
,-13.02747,-108.02224,,,,,,,,,,,,,,,,,
,-13.04005,-107.97966,,,,,,,,,,,,,,,,,
,-7.84524,-105.97361,,,,,,,,,,,,,,,,,
,-9.4397,-106.05051,,,,,,,,,,,,,,,,,
,-8.81828,-106.04685,,,,,,,,,,,,,,,,,
,-8.66773,-109.12313,,,,,,,,,,,,,,,,,
,-8.92835,-109.13018,,,,,,,,,,,,,,,,,
,-8.93368,-109.20824,,,,,,,,,,,,,,,,,
,-8.95041,-109.0238,,,,,,,,,,,,,,,,,
,-8.44673,-108.73414,,,,,,,,,,,,,,,,,
,-8.90635,-109.2033,,,,,,,,,,,,,,,,,
,-8.45682,-108.8576,,,,,,,,,,,,,,,,,
,-8.57713,-108.73107,,,,,,,,,,,,,,,,,
,-8.98493,-106.05379,,,,,,,,,,,,,,,,,
,-8.71454,-105.95275,,,,,,,,,,,,,,,,,
,-8.50589,-105.99224,,,,,,,,,,,,,,,,,
,-13.19805,-108.01951,,,,,,,,,,,,,,,,,
,-9.04585,-109.22274,,,,,,,,,,,,,,,,,
,-8.60198,-109.23435,,,,,,,,,,,,,,,,,
,-8.82286,-109.20917,,,,,,,,,,,,,,,,,
,-8.6394,-109.16762,,,,,,,,,,,,,,,,,
,-9.63133,-106.03696,,,,,,,,,,,,,,,,,
,-9.97788,-106.04465,,,,,,,,,,,,,,,,,
,-8.85156,-108.98645,,,,,,,,,,,,,,,,,
,-9.09032,-105.98501,,,,,,,,,,,,,,,,,
,-17.87943,-80.50793,,,,,,,,,,,,,,,,,
,-16.89457,-81.63687,,,,,,,,,,,,,,,,,
,-18.00713,-79.87069,,,,,,,,,,,,,,,,,
,-18.18011,-79.26196,,,,,,,,,,,,,,,,,
,-16.95156,-81.63333,,,,,,,,,,,,,,,,,
,-16.98863,-82.03223,,,,,,,,,,,,,,,,,
,-2.24905,-104.51488,,,,,,,,,,,,,,,,,
,-18.74262,-79.78222,,,,,,,,,,,,,,,,,
,-18.78166,-79.76789,,,,,,,,,,,,,,,,,
,-18.01494,-79.38973,,,,,,,,,,,,,,,,,
,-18.12729,-79.18169,,,,,,,,,,,,,,,,,
,-18.12166,-79.1846,,,,,,,,,,,,,,,,,
,-18.07137,-79.21019,,,,,,,,,,,,,,,,,
,-18.19341,-79.19707,,,,,,,,,,,,,,,,,
,-18.23249,-79.18287,,,,,,,,,,,,,,,,,
,-2.96034,-102.93216,,,,,,,,,,,,,,,,,
,-2.98618,-102.88093,,,,,,,,,,,,,,,,,
,-1.28039,-104.87272,,,,,,,,,,,,,,,,,
,-3.15307,-102.53224,,,,,,,,,,,,,,,,,
,0.38961,-104.83515,,,,,,,,,,,,,,,,,
,-2.23601,-102.53467,,,,,,,,,,,,,,,,,
,-3.09836,-102.41539,,,,,,,,,,,,,,,,,
,-3.3116,-101.32743,,,,,,,,,,,,,,,,,
,-1.46946,-101.96308,,,,,,,,,,,,,,,,,
,0.37187,-103.55412,,,,,,,,,,,,,,,,,
,-1.39856,-102.42425,,,,,,,,,,,,,,,,,
,-2.96071,-101.42425,,,,,,,,,,,,,,,,,
,-2.95892,-101.42834,,,,,,,,,,,,,,,,,
,-1.47206,-101.9583,,,,,,,,,,,,,,,,,
,0.30486,-103.56155,,,,,,,,,,,,,,,,,
,0.36427,-103.5569,,,,,,,,,,,,,,,,,
,0.37742,-103.55235,,,,,,,,,,,,,,,,,
,-0.02215,-103.92145,,,,,,,,,,,,,,,,,
,-1.36341,-102.94031,,,,,,,,,,,,,,,,,
,0.28959,-103.50046,,,,,,,,,,,,,,,,,
,-3.65712,-101.44796,,,,,,,,,,,,,,,,,
,-1.18201,-103.69847,,,,,,,,,,,,,,,,,
,0.2001,-103.65622,,,,,,,,,,,,,,,,,
,-0.14907,-104.15347,,,,,,,,,,,,,,,,,
,0.30755,-103.56415,,,,,,,,,,,,,,,,,
,0.24767,-103.45348,,,,,,,,,,,,,,,,,
,-1.33503,-102.89752,,,,,,,,,,,,,,,,,
,-3.34703,-101.6728,,,,,,,,,,,,,,,,,
,-2.18114,-102.18762,,,,,,,,,,,,,,,,,
,-1.33693,-102.89926,,,,,,,,,,,,,,,,,
,-1.23561,-102.74331,,,,,,,,,,,,,,,,,
,-1.39295,-103.61078,,,,,,,,,,,,,,,,,
,-0.15932,-104.15034,,,,,,,,,,,,,,,,,
,-3.44213,-101.54597,,,,,,,,,,,,,,,,,
,-1.38488,-102.41297,,,,,,,,,,,,,,,,,
,-1.37849,-103.62761,,,,,,,,,,,,,,,,,
,0.02168,-103.78226,,,,,,,,,,,,,,,,,
,-1.26117,-102.68637,,,,,,,,,,,,,,,,,
,-1.11963,-103.74114,,,,,,,,,,,,,,,,,
,0.30047,-103.5094,,,,,,,,,,,,,,,,,
,-3.04005,-101.59658,,,,,,,,,,,,,,,,,
,-1.83263,-102.74373,,,,,,,,,,,,,,,,,
,-1.40199,-102.36916,,,,,,,,,,,,,,,,,
,-1.11398,-103.75738,,,,,,,,,,,,,,,,,
,-1.19027,-103.65503,,,,,,,,,,,,,,,,,
,-18.5815,-79.79618,,,,,,,,,,,,,,,,,
,-18.6733,-79.81156,,,,,,,,,,,,,,,,,
,-18.64996,-79.82139,,,,,,,,,,,,,,,,,
,-18.78553,-79.64973,,,,,,,,,,,,,,,,,
,-18.68947,-79.7358,,,,,,,,,,,,,,,,,
,-18.15285,-79.75245,,,,,,,,,,,,,,,,,
,-18.02416,-79.03142,,,,,,,,,,,,,,,,,
,-18.0175,-79.03237,,,,,,,,,,,,,,,,,
,-18.59121,-79.80046,,,,,,,,,,,,,,,,,
,-18.62328,-79.83701,,,,,,,,,,,,,,,,,
,-18.69108,-79.73897,,,,,,,,,,,,,,,,,
