time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magNst,status,locationSource,magSource
,-0.79015,-108.96725,,,,,,,,,,,,,,,,,
,-1.50998,-110.55701,,,,,,,,,,,,,,,,,
,-1.55495,-110.54528,,,,,,,,,,,,,,,,,
,-1.20114,-109.16128,,,,,,,,,,,,,,,,,
,-1.83882,-108.86096,,,,,,,,,,,,,,,,,
,-0.94226,-110.16835,,,,,,,,,,,,,,,,,
,-0.93314,-110.16573,,,,,,,,,,,,,,,,,
,-1.25265,-109.08224,,,,,,,,,,,,,,,,,
,-0.79183,-108.97232,,,,,,,,,,,,,,,,,
,0.35336,-108.31624,,,,,,,,,,,,,,,,,
,0.17153,-108.384,,,,,,,,,,,,,,,,,
,0.17271,-108.39282,,,,,,,,,,,,,,,,,
,-1.17998,-108.79256,,,,,,,,,,,,,,,,,
,-1.17545,-108.80171,,,,,,,,,,,,,,,,,
,-0.47583,-108.21083,,,,,,,,,,,,,,,,,
,-1.73065,-111.96452,,,,,,,,,,,,,,,,,
,0.19089,-105.97229,,,,,,,,,,,,,,,,,
,-1.2935,-111.72586,,,,,,,,,,,,,,,,,
,0.21333,-105.22823,,,,,,,,,,,,,,,,,
,-0.3212,-108.0117,,,,,,,,,,,,,,,,,
,-1.53292,-111.72938,,,,,,,,,,,,,,,,,
,-1.55875,-111.72652,,,,,,,,,,,,,,,,,
,-1.26192,-110.66501,,,,,,,,,,,,,,,,,
,-1.55438,-111.71766,,,,,,,,,,,,,,,,,
,-1.4646,-111.71555,,,,,,,,,,,,,,,,,
,-1.28084,-111.90494,,,,,,,,,,,,,,,,,
,-1.26573,-111.90877,,,,,,,,,,,,,,,,,
,-1.18869,-111.83902,,,,,,,,,,,,,,,,,
,-1.27222,-111.83653,,,,,,,,,,,,,,,,,
,-1.01488,-109.91911,,,,,,,,,,,,,,,,,
,-1.54156,-111.64585,,,,,,,,,,,,,,,,,
,-1.42794,-111.95383,,,,,,,,,,,,,,,,,
,0.4371,-104.76878,,,,,,,,,,,,,,,,,
,-1.61262,-111.70657,,,,,,,,,,,,,,,,,
,-1.3408,-110.92145,,,,,,,,,,,,,,,,,
,-1.25515,-111.91374,,,,,,,,,,,,,,,,,
,0.3643,-108.23303,,,,,,,,,,,,,,,,,
,-1.28165,-111.83493,,,,,,,,,,,,,,,,,
,-1.62621,-110.45264,,,,,,,,,,,,,,,,,
,0.12548,-105.162,,,,,,,,,,,,,,,,,
,0.44691,-104.7515,,,,,,,,,,,,,,,,,
,-1.62027,-110.45813,,,,,,,,,,,,,,,,,
,0.18221,-105.14859,,,,,,,,,,,,,,,,,
,0.38191,-108.25933,,,,,,,,,,,,,,,,,
,-0.92712,-109.1336,,,,,,,,,,,,,,,,,
,0.26232,-102.5132,,,,,,,,,,,,,,,,,
,0.11012,-106.11855,,,,,,,,,,,,,,,,,
,-0.26422,-103.29601,,,,,,,,,,,,,,,,,
,-0.1393,-103.23356,,,,,,,,,,,,,,,,,
,-1.45657,-103.08392,,,,,,,,,,,,,,,,,
,0.04155,-103.15704,,,,,,,,,,,,,,,,,
,-1.38821,-112.25256,,,,,,,,,,,,,,,,,
,-1.22759,-109.32448,,,,,,,,,,,,,,,,,
,-1.34119,-112.53331,,,,,,,,,,,,,,,,,
,-1.33708,-111.95829,,,,,,,,,,,,,,,,,
,-0.89151,-109.16794,,,,,,,,,,,,,,,,,
,-1.17742,-111.86254,,,,,,,,,,,,,,,,,
,-1.35199,-110.92543,,,,,,,,,,,,,,,,,
,-0.63391,-104.33847,,,,,,,,,,,,,,,,,
,-0.63121,-104.53704,,,,,,,,,,,,,,,,,
,-1.40165,-110.04507,,,,,,,,,,,,,,,,,
,-1.04399,-111.87556,,,,,,,,,,,,,,,,,
,0.00286,-105.10197,,,,,,,,,,,,,,,,,
,-0.6332,-104.5064,,,,,,,,,,,,,,,,,
,-1.32054,-110.06386,,,,,,,,,,,,,,,,,
,-1.38888,-110.00625,,,,,,,,,,,,,,,,,
,0.43111,-105.38119,,,,,,,,,,,,,,,,,
,-1.35882,-109.11655,,,,,,,,,,,,,,,,,
,-0.48463,-107.43218,,,,,,,,,,,,,,,,,
,-1.57455,-109.11,,,,,,,,,,,,,,,,,
,-1.48358,-111.65601,,,,,,,,,,,,,,,,,
,-1.49709,-111.6687,,,,,,,,,,,,,,,,,
,-0.35058,-107.4436,,,,,,,,,,,,,,,,,
,-1.2949,-109.05415,,,,,,,,,,,,,,,,,
,-1.42965,-111.65093,,,,,,,,,,,,,,,,,
,-1.37063,-111.63135,,,,,,,,,,,,,,,,,
,-1.31065,-109.05244,,,,,,,,,,,,,,,,,
,-1.2683,-109.06935,,,,,,,,,,,,,,,,,
,-1.43385,-111.61991,,,,,,,,,,,,,,,,,
,-1.48365,-111.6565,,,,,,,,,,,,,,,,,
,0.14919,-104.77202,,,,,,,,,,,,,,,,,
,-0.33463,-107.44705,,,,,,,,,,,,,,,,,
,-1.63455,-109.11125,,,,,,,,,,,,,,,,,
,-1.3221,-109.05718,,,,,,,,,,,,,,,,,
,-1.3727,-111.62617,,,,,,,,,,,,,,,,,
,0.19007,-102.75288,,,,,,,,,,,,,,,,,
,-0.32858,-107.42262,,,,,,,,,,,,,,,,,
,-0.48372,-104.17025,,,,,,,,,,,,,,,,,
,-0.36786,-107.37692,,,,,,,,,,,,,,,,,
,-1.53353,-109.19757,,,,,,,,,,,,,,,,,
,-0.2697,-102.82177,,,,,,,,,,,,,,,,,
,-1.5253,-110.3847,,,,,,,,,,,,,,,,,
,-1.88106,-109.62646,,,,,,,,,,,,,,,,,
,-1.57583,-110.40418,,,,,,,,,,,,,,,,,
,-0.49653,-104.59943,,,,,,,,,,,,,,,,,
,-1.53036,-110.38189,,,,,,,,,,,,,,,,,
,-0.99032,-112.07801,,,,,,,,,,,,,,,,,
,-0.44116,-109.3932,,,,,,,,,,,,,,,,,
,0.16642,-104.61053,,,,,,,,,,,,,,,,,
,0.17108,-104.62984,,,,,,,,,,,,,,,,,
,0.09226,-104.39883,,,,,,,,,,,,,,,,,
,-1.94194,-108.49539,,,,,,,,,,,,,,,,,
,-1.62435,-109.25415,,,,,,,,,,,,,,,,,
,0.35872,-108.64263,,,,,,,,,,,,,,,,,
,-0.85458,-111.67698,,,,,,,,,,,,,,,,,
,-1.17888,-111.76743,,,,,,,,,,,,,,,,,
,-1.32022,-111.77196,,,,,,,,,,,,,,,,,
,0.343,-105.24583,,,,,,,,,,,,,,,,,
,-0.84749,-109.00193,,,,,,,,,,,,,,,,,
,-0.79125,-111.60185,,,,,,,,,,,,,,,,,
,-1.23633,-111.7176,,,,,,,,,,,,,,,,,
,-0.36812,-103.36441,,,,,,,,,,,,,,,,,
,-0.93934,-111.59225,,,,,,,,,,,,,,,,,
,-1.30605,-111.81705,,,,,,,,,,,,,,,,,
,-1.10462,-110.53793,,,,,,,,,,,,,,,,,
,-0.35374,-103.36273,,,,,,,,,,,,,,,,,
,0.37205,-105.25291,,,,,,,,,,,,,,,,,
,-1.09126,-110.5501,,,,,,,,,,,,,,,,,
,-0.79314,-111.51285,,,,,,,,,,,,,,,,,
,-1.32601,-111.80677,,,,,,,,,,,,,,,,,
,-1.34401,-111.8098,,,,,,,,,,,,,,,,,
,-0.99238,-111.57967,,,,,,,,,,,,,,,,,
,-0.7817,-111.58871,,,,,,,,,,,,,,,,,
,-0.82271,-111.69651,,,,,,,,,,,,,,,,,
,0.48304,-104.87311,,,,,,,,,,,,,,,,,
,-1.20871,-111.73469,,,,,,,,,,,,,,,,,
,-1.32027,-111.7786,,,,,,,,,,,,,,,,,
,-0.7597,-111.55968,,,,,,,,,,,,,,,,,
,-1.32083,-111.80873,,,,,,,,,,,,,,,,,
,-1.45547,-111.62199,,,,,,,,,,,,,,,,,
,-1.12813,-110.52321,,,,,,,,,,,,,,,,,
,-0.04103,-108.13178,,,,,,,,,,,,,,,,,
,-1.02042,-112.98036,,,,,,,,,,,,,,,,,
,0.41302,-105.10238,,,,,,,,,,,,,,,,,
,-0.67758,-108.8024,,,,,,,,,,,,,,,,,
,0.41215,-105.06414,,,,,,,,,,,,,,,,,
,-1.13533,-110.06765,,,,,,,,,,,,,,,,,
,-14.83054,-86.04669,,,,,,,,,,,,,,,,,
,-0.96245,-110.07838,,,,,,,,,,,,,,,,,
,-1.33936,-109.23562,,,,,,,,,,,,,,,,,
,-1.49793,-111.5135,,,,,,,,,,,,,,,,,
,-1.33675,-109.23913,,,,,,,,,,,,,,,,,
,-0.28165,-109.22256,,,,,,,,,,,,,,,,,
,-0.94737,-109.74527,,,,,,,,,,,,,,,,,
,-0.68366,-109.87444,,,,,,,,,,,,,,,,,
,-12.51957,-88.83952,,,,,,,,,,,,,,,,,
,-0.67968,-109.87095,,,,,,,,,,,,,,,,,
,-16.5516,-83.16551,,,,,,,,,,,,,,,,,
,-0.67829,-109.86135,,,,,,,,,,,,,,,,,
,-0.96651,-110.02312,,,,,,,,,,,,,,,,,
,-13.74527,-87.37741,,,,,,,,,,,,,,,,,
,-0.96748,-110.09726,,,,,,,,,,,,,,,,,
,0.0029,-107.74522,,,,,,,,,,,,,,,,,
,-1.22745,-110.93148,,,,,,,,,,,,,,,,,
,-1.44645,-110.56147,,,,,,,,,,,,,,,,,
,-1.6764,-102.63763,,,,,,,,,,,,,,,,,
,-0.99723,-109.60711,,,,,,,,,,,,,,,,,
,-1.67278,-110.32586,,,,,,,,,,,,,,,,,
,0.00019,-107.74373,,,,,,,,,,,,,,,,,
,-1.09736,-109.7754,,,,,,,,,,,,,,,,,
,-1.4803,-110.55824,,,,,,,,,,,,,,,,,
,-1.47399,-110.54872,,,,,,,,,,,,,,,,,
,-1.66864,-102.64862,,,,,,,,,,,,,,,,,
,-0.83677,-103.65179,,,,,,,,,,,,,,,,,
,-1.67133,-110.38004,,,,,,,,,,,,,,,,,
,-1.89658,-108.74735,,,,,,,,,,,,,,,,,
,0.50146,-108.19402,,,,,,,,,,,,,,,,,
,0.06222,-107.60996,,,,,,,,,,,,,,,,,
,-1.50747,-110.521,,,,,,,,,,,,,,,,,
,0.48312,-108.16418,,,,,,,,,,,,,,,,,
,0.06286,-107.60226,,,,,,,,,,,,,,,,,
,-1.6065,-102.67448,,,,,,,,,,,,,,,,,
,-1.18006,-109.9107,,,,,,,,,,,,,,,,,
,-1.17274,-109.91591,,,,,,,,,,,,,,,,,
,-1.56197,-110.50737,,,,,,,,,,,,,,,,,
,-1.69312,-110.40807,,,,,,,,,,,,,,,,,
,0.17393,-108.12059,,,,,,,,,,,,,,,,,
,0.09859,-107.93063,,,,,,,,,,,,,,,,,
,-1.79281,-108.94059,,,,,,,,,,,,,,,,,
,0.27928,-104.76669,,,,,,,,,,,,,,,,,
,0.09647,-107.94961,,,,,,,,,,,,,,,,,
,-1.7271,-109.07304,,,,,,,,,,,,,,,,,
,-1.65925,-110.0679,,,,,,,,,,,,,,,,,
,-1.65294,-102.739,,,,,,,,,,,,,,,,,
,-1.55329,-110.44678,,,,,,,,,,,,,,,,,
,-1.4863,-110.53629,,,,,,,,,,,,,,,,,
,-1.48271,-110.53961,,,,,,,,,,,,,,,,,
,-1.74507,-108.83875,,,,,,,,,,,,,,,,,
,-1.66908,-102.7554,,,,,,,,,,,,,,,,,
,-1.03531,-109.44535,,,,,,,,,,,,,,,,,
,0.18561,-108.50172,,,,,,,,,,,,,,,,,
,-1.38466,-110.65928,,,,,,,,,,,,,,,,,
,0.26622,-108.37163,,,,,,,,,,,,,,,,,
,0.1874,-104.46345,,,,,,,,,,,,,,,,,
,0.18573,-104.46233,,,,,,,,,,,,,,,,,
,0.18552,-104.46266,,,,,,,,,,,,,,,,,
,0.18536,-104.4618,,,,,,,,,,,,,,,,,
,0.18491,-104.46267,,,,,,,,,,,,,,,,,
,0.47965,-105.85635,,,,,,,,,,,,,,,,,
,0.50303,-106.05356,,,,,,,,,,,,,,,,,
,-0.94236,-112.25038,,,,,,,,,,,,,,,,,
,0.18632,-104.4624,,,,,,,,,,,,,,,,,
,0.18548,-104.46246,,,,,,,,,,,,,,,,,
,0.18547,-104.46232,,,,,,,,,,,,,,,,,
,0.46344,-105.82987,,,,,,,,,,,,,,,,,
,0.47962,-105.85475,,,,,,,,,,,,,,,,,
,0.46521,-106.19534,,,,,,,,,,,,,,,,,
,0.46417,-106.19358,,,,,,,,,,,,,,,,,
,0.46267,-106.19238,,,,,,,,,,,,,,,,,
,0.50408,-106.05348,,,,,,,,,,,,,,,,,
,0.50277,-106.05376,,,,,,,,,,,,,,,,,
,0.47041,-105.52556,,,,,,,,,,,,,,,,,
,-1.56166,-112.02993,,,,,,,,,,,,,,,,,
,-1.55771,-112.0296,,,,,,,,,,,,,,,,,
,-1.41442,-110.60568,,,,,,,,,,,,,,,,,
,-1.43247,-110.59924,,,,,,,,,,,,,,,,,
,-1.43327,-110.59878,,,,,,,,,,,,,,,,,
,-1.24195,-112.16681,,,,,,,,,,,,,,,,,
,-1.2422,-112.16521,,,,,,,,,,,,,,,,,
,-1.24479,-112.16629,,,,,,,,,,,,,,,,,
,-1.24688,-112.16592,,,,,,,,,,,,,,,,,
,0.17885,-104.46809,,,,,,,,,,,,,,,,,
,0.20028,-104.46215,,,,,,,,,,,,,,,,,
,0.46094,-105.82847,,,,,,,,,,,,,,,,,
,0.46593,-105.83309,,,,,,,,,,,,,,,,,
,0.47001,-105.8417,,,,,,,,,,,,,,,,,
,0.47883,-105.85258,,,,,,,,,,,,,,,,,
,0.25493,-106.40434,,,,,,,,,,,,,,,,,
,0.25305,-106.40109,,,,,,,,,,,,,,,,,
,0.25231,-106.39891,,,,,,,,,,,,,,,,,
,0.24916,-106.39241,,,,,,,,,,,,,,,,,
,0.47018,-105.52796,,,,,,,,,,,,,,,,,
,0.47228,-105.52688,,,,,,,,,,,,,,,,,
,0.47424,-106.02042,,,,,,,,,,,,,,,,,
,-0.85236,-109.5992,,,,,,,,,,,,,,,,,
,-1.22554,-111.06176,,,,,,,,,,,,,,,,,
,-1.57438,-111.94157,,,,,,,,,,,,,,,,,
,-1.5657,-112.0313,,,,,,,,,,,,,,,,,
,-1.56309,-112.03016,,,,,,,,,,,,,,,,,
,-1.56107,-112.02923,,,,,,,,,,,,,,,,,
,-1.55675,-112.03057,,,,,,,,,,,,,,,,,
,-1.55428,-112.03222,,,,,,,,,,,,,,,,,
,-1.54864,-112.03678,,,,,,,,,,,,,,,,,
,-1.54375,-112.04294,,,,,,,,,,,,,,,,,
,-1.41014,-110.60718,,,,,,,,,,,,,,,,,
,-1.41685,-110.60539,,,,,,,,,,,,,,,,,
,-1.42839,-110.60271,,,,,,,,,,,,,,,,,
,-1.43095,-110.60079,,,,,,,,,,,,,,,,,
,-1.43818,-110.5958,,,,,,,,,,,,,,,,,
,-0.94394,-113.48883,,,,,,,,,,,,,,,,,
,-1.24298,-112.16395,,,,,,,,,,,,,,,,,
,-1.2431,-112.16494,,,,,,,,,,,,,,,,,
,-1.24781,-112.16476,,,,,,,,,,,,,,,,,
,-1.04116,-112.13723,,,,,,,,,,,,,,,,,
,-0.94378,-112.24192,,,,,,,,,,,,,,,,,
,-2.01254,-108.8989,,,,,,,,,,,,,,,,,
