longitude;latitude;altitude
-89.02535;-8.07652;0
-103.82421;-1.65287;0
-106.65312;-0.55382;0
-105.12869;-1.44057;0
-105.13517;-1.43198;0
-106.14875;-0.25518;0
-104.8072;-0.24863;0
-108.49232;-1.36935;0
-106.87053;-0.3754;0
-104.04192;-0.77624;0
-106.81869;-0.33527;0
-106.78899;-0.31528;0
-105.93397;-0.48053;0
-104.60635;-0.12061;0
-106.58117;-0.09385;0
-104.92304;-0.53589;0
-106.32328;-0.22348;0
-105.68192;-0.36603;0
-105.53763;-0.35073;0
-104.98912;-0.52605;0
-106.07853;-0.20785;0
-104.60587;-0.11185;0
-110.59193;0.29408;0
-103.57768;0.34623;0
-106.32014;-0.29949;0
-107.72167;-0.80602;0
-105.52821;-1.27117;0
-103.49713;-1.24093;0
-106.93875;-0.10626;0
-109.59408;-0.78061;0
-105.78983;-0.15052;0
-106.71264;-0.17394;0
-110.604;0.29462;0
-103.33648;-1.4469;0
-103.53145;-0.02168;0
-103.50848;-1.05465;0
-107.38137;-0.22077;0
-110.67051;0.39128;0
-107.7358;-0.81405;0
-105.53155;-1.27428;0
-103.34915;-1.44671;0
-107.12292;0.08885;0
-110.22125;-0.19453;0
-105.70077;-0.03987;0
-105.68657;-0.04665;0
-112.77229;-1.16566;0
-110.58579;0.29409;0
-110.80897;0.07563;0
-110.68833;0.0636;0
-110.72285;0.33127;0
-106.44937;-0.2799;0
-112.75926;-1.15858;0
-106.26208;-0.2632;0
-106.92038;-0.07282;0
-107.09397;0.0551;0
-110.68129;0.32524;0
-106.24336;-0.268;0
-107.61492;0.09176;0
-103.27193;0.24058;0
-105.21027;-1.58739;0
-103.43449;0.21641;0
-103.23102;0.20482;0
-103.03828;-0.08357;0
-103.06447;-0.15005;0
-107.08774;-0.25217;0
-103.22538;0.16223;0
-102.78066;-0.14308;0
-102.98944;-0.25056;0
-102.89003;-0.1431;0
-103.13871;-0.06977;0
-103.3761;-0.12413;0
-102.95909;-0.23733;0
-103.15253;-0.06835;0
-102.71897;-0.23124;0
-103.7538;-1.6903;0
-102.88578;-0.7873;0
-112.09799;-1.37888;0
-103.67323;-1.64459;0
-103.3965;-0.02766;0
-103.07243;-0.6416;0
-107.82604;-0.47547;0
-106.73626;-0.1653;0
-103.54877;0.31204;0
-107.2776;-0.37177;0
-104.6466;-0.61462;0
-112.10749;-0.42608;0
-102.87144;-0.1194;0
-102.69624;-1.49581;0
-102.52158;-0.1719;0
-102.99456;0.10904;0
-102.90087;-0.11769;0
-102.9319;-0.31438;0
-103.19584;-0.14806;0
-103.17725;-0.14954;0
-102.91047;-0.24069;0
-103.76033;-1.62043;0
-103.46125;-1.15602;0
-108.48944;-0.50853;0
-105.64371;-0.6945;0
-103.38707;-1.09989;0
-108.59366;-1.63813;0
-108.07183;-0.42653;0
-105.71346;-1.20605;0
-103.53938;-1.53598;0
-103.59195;-1.56363;0
-103.51065;-1.45947;0
-103.90418;-0.32195;0
-108.28454;-0.43667;0
-105.7091;-1.20802;0
-106.93742;-0.41459;0
-105.40447;-0.76272;0
-107.33805;-0.42127;0
-106.94535;-0.41753;0
-103.96056;-0.31735;0
-106.94536;0.03349;0
-106.66551;-0.12491;0
-108.23878;-0.41291;0
-108.2764;-0.447;0
-103.60207;-1.57426;0
-106.75101;-0.25363;0
-107.00183;-0.44423;0
-103.53354;-1.54141;0
-103.9537;-0.31838;0
-103.88583;-0.25023;0
-105.63993;-0.7012;0
-107.09908;0.18577;0
-106.76631;-0.09684;0
-106.95418;0.03714;0
-108.19375;-0.42798;0
-106.9228;-0.40775;0
-106.98712;-0.4393;0
-107.05618;0.13223;0
-105.56535;-0.7801;0
-107.06358;0.26788;0
-106.92911;-0.05001;0
-105.2013;-0.62003;0
-104.79133;-0.31896;0
-106.9137;0.01868;0
-106.41588;-0.21175;0
-108.17712;-0.42693;0
-107.05984;0.18375;0
-106.9928;0.04725;0
-106.44076;-0.20293;0
-106.95564;0.01132;0
-106.3372;-0.28545;0
-104.77895;-0.30585;0
-106.98268;0.03915;0
-107.03152;0.14726;0
-108.47916;-1.95647;0
-108.76856;-0.63369;0
-103.16322;-0.4938;0
-109.09778;-0.8759;0
-109.08524;-0.87368;0
-109.07715;-0.87187;0
-103.07311;-0.27537;0
-103.31775;-1.2414;0
-103.1651;-0.48596;0
-102.81126;0.30528;0
-108.75495;-0.63355;0
-105.6646;-0.95354;0
-105.86977;-0.54935;0
-103.615;-0.5731;0
-103.06771;-0.28827;0
-108.44121;-1.9607;0
-108.60938;-0.58294;0
-102.91898;0.34813;0
-109.23328;0.02261;0
-108.45252;-1.95055;0
-105.87293;-0.54565;0
-111.40724;-0.12392;0
-110.42894;0.32287;0
-109.64096;0.36083;0
-111.61549;-0.27044;0
-109.64165;0.36667;0
-104.17926;-1.43835;0
-106.43572;-0.20494;0
-104.22062;0.01734;0
-104.26421;0.42389;0
-111.65093;-0.36444;0
-107.1716;-0.12907;0
-111.61731;-0.2547;0
-104.21896;0.4027;0
-111.65678;-0.3169;0
-107.0696;0.02875;0
-108.09725;-0.47412;0
-107.04387;-0.31891;0
-111.67465;-0.29944;0
-107.53007;0.38962;0
-107.35868;0.02986;0
-107.71356;0.49761;0
-108.58752;-0.56498;0
-111.94664;-1.89363;0
-108.58421;-0.559;0
-106.68503;-1.51317;0
-106.67013;-1.53551;0
-106.80496;-0.77319;0
-106.5783;-1.14601;0
-106.56827;-1.14343;0
-106.7658;-1.2482;0
-106.7756;-1.32301;0
-106.16014;-0.03968;0
-106.86458;-1.40473;0
-106.90629;-1.37485;0
-106.58314;-1.05457;0
-106.60904;-1.22394;0
-106.67496;-1.53038;0
-106.65071;-1.25441;0
-104.4509;-0.19672;0
-104.44676;-0.19821;0
-106.84538;-1.37988;0
-103.18878;-0.56015;0
-106.77289;-1.24582;0
-106.62754;-0.78895;0
-106.78528;-0.77707;0
-104.44637;-0.19176;0
-113.3453;-1.03279;0
-106.49059;0.19779;0
-113.34498;-1.04468;0
-106.52129;0.22238;0
-106.49753;0.20403;0
-105.40629;-0.30338;0
-108.02235;-0.06353;0
-105.66815;-0.26844;0
-107.90411;0.03706;0
-107.98094;-0.09792;0
-108.59139;-0.57038;0
-104.44024;-1.51962;0
-104.03413;-2.15692;0
-104.4303;-1.51995;0
-98.83053;-3.56079;0
-107.11313;-0.52645;0
-105.70801;-1.08098;0
-103.802;-0.60552;0
-107.20576;0.08765;0
-102.65297;-1.86993;0
-108.02015;-0.41148;0
-108.00557;-0.40798;0
-105.48352;-0.87847;0
-104.04784;-1.86951;0
-105.79243;-0.21292;0
-105.93256;-0.39538;0
-107.05594;-0.03632;0
-105.55199;-0.53739;0
-105.51288;-0.53258;0
-107.15672;0.0197;0
-105.91846;-0.39892;0
-107.12599;-0.02631;0
-107.13528;0.02105;0
-107.10067;-0.03796;0
-107.08738;-0.03233;0
-107.0922;0.02466;0
-105.54143;-0.53639;0
-107.06408;0.00708;0
-107.04982;-0.00229;0
-107.12379;-0.02651;0
-105.24068;-0.28576;0
-107.10494;0.03215;0
-105.22629;-0.271;0
-104.01888;-2.1444;0
-106.9987;-0.15285;0
-107.23991;0.11351;0
-105.4392;-1.01714;0
-106.06079;-1.05303;0
-103.50139;-1.4771;0
-103.50967;-1.47733;0
-107.12685;-0.03291;0
-107.02301;-0.07659;0
-107.16434;-0.30855;0
-107.03212;-0.0365;0
-105.27266;-0.29548;0
-103.40983;-1.59666;0
-106.9716;-0.03073;0
-107.13158;0.02074;0
-107.11268;0.00085;0
-107.05945;-0.02201;0
-105.63277;-0.51284;0
-105.24765;-0.21382;0
-107.21312;0.07995;0
-105.23001;-0.20066;0
-105.21617;-0.18653;0
-107.11759;0.00615;0
-106.70468;-0.42558;0
-107.38154;-0.58591;0
-104.1936;-1.45034;0
-107.27189;0.04636;0
-107.01894;-0.03857;0
-106.27459;-0.8922;0
-103.54938;-1.70898;0
-105.45745;-0.76692;0
-106.99995;-0.04371;0
-105.91895;0.16999;0
-107.15647;0.13149;0
-104.2131;-1.43577;0
-108.68522;-1.66163;0
-104.2064;-1.45229;0
-107.36293;-0.23543;0
-104.91671;-0.2253;0
-107.24363;0.02908;0
-108.1225;-0.38593;0
-107.056;0.0305;0
-107.18212;-0.14271;0
-107.24608;0.0547;0
-107.65721;-0.4835;0
-105.10856;-0.96185;0
-103.01151;-1.67873;0
-104.24264;-2.14652;0
-105.7515;-0.38257;0
-105.76539;-0.39015;0
-107.24325;0.10537;0
-107.21987;0.12513;0
-108.41255;-1.7906;0
-107.41339;-0.50449;0
-107.39698;-0.50026;0
-107.39258;-0.49845;0
-107.38737;-0.49715;0
-107.38555;-0.49716;0
-107.38295;-0.49707;0
-107.37116;-0.4941;0
-107.65193;-0.48483;0
-107.64029;-0.48347;0
-105.11721;-0.99018;0
-105.11563;-0.98612;0
-105.11338;-0.97517;0
-102.94706;-1.32863;0
-103.00661;-1.67738;0
-103.01097;-1.68823;0
-103.36262;-1.77928;0
-104.18204;-2.04116;0
-104.20544;-2.06403;0
-105.74946;-0.37922;0
-107.28553;0.11653;0
-105.24977;-0.40598;0
-110.26241;-1.64675;0
-108.50387;-1.72497;0
-108.40926;-1.78506;0
-107.41079;-0.5038;0
-107.40505;-0.5032;0
-107.38102;-0.49645;0
-107.37946;-0.49579;0
-107.65844;-0.48449;0
-107.65517;-0.4838;0
-107.64983;-0.48557;0
-107.64696;-0.48545;0
-107.63516;-0.48151;0
-107.63141;-0.48013;0
-107.62851;-0.47845;0
-107.62432;-0.47614;0
-107.61989;-0.47392;0
-107.6096;-0.46822;0
-106.74729;-0.3598;0
-105.10002;-1.13159;0
-105.11328;-0.97911;0
-105.11201;-0.96702;0
-105.11008;-0.96403;0
-105.10609;-0.95979;0
-105.1058;-0.95515;0
-103.66541;-1.53221;0
-103.6632;-1.53039;0
-102.81752;-0.76515;0
-102.95095;-1.32676;0
-103.00924;-1.67754;0
-103.02876;-1.67985;0
-103.01403;-1.68904;0
-103.01882;-1.68991;0
-103.367;-1.78185;0
-104.17696;-2.03693;0
-104.24103;-2.14194;0
-105.76714;-0.39102;0
-107.28035;0.12355;0
-107.29271;0.10092;0
-107.31555;0.05887;0
-105.25381;-0.40813;0
-105.02032;-0.63828;0
-105.01662;-0.62752;0
-110.32602;-1.62558;0
-110.32215;-1.62874;0
-110.25856;-1.64867;0
-108.4682;-1.73577;0
-108.72016;-0.93063;0
-107.40725;-0.50368;0
-107.39011;-0.49763;0
-106.72447;-0.4287;0
-106.73175;-0.41847;0
-106.75684;-0.36898;0
-105.10034;-1.13557;0
-105.09881;-1.127;0
-105.06143;-1.13041;0
-105.12091;-0.99433;0
-103.6662;-1.54283;0
-103.66818;-1.5397;0
-102.99525;-0.82051;0
-102.99939;-0.82486;0
-102.83198;-0.77721;0
-102.83139;-0.77651;0
-102.82844;-0.7767;0
-102.97045;-1.32393;0
-103.02323;-1.6888;0
-103.02764;-1.68901;0
-103.34983;-1.7719;0
-103.35845;-1.7771;0
-104.21365;-2.08135;0
-104.22316;-2.11485;0
-104.227;-2.11963;0
-104.23418;-2.13136;0
-104.23875;-2.13762;0
-105.76181;-0.38774;0
-105.76881;-0.39139;0
-107.1798;0.04854;0
-107.18853;0.04467;0
-107.19503;0.04191;0
-107.23515;0.1318;0
-107.27618;0.12641;0
-107.28296;0.12101;0
-107.28739;0.11332;0
-107.28975;0.10722;0
-105.02391;-0.64918;0
-105.0109;-0.61587;0
-110.31946;-1.63086;0
-110.31534;-1.63422;0
-110.27606;-1.64235;0
-108.44478;-1.75402;0
-109.08693;-1.06573;0
-107.41791;-0.50508;0
-107.59166;-0.45878;0
-106.7524;-0.36507;0
-106.74465;-0.35641;0
-106.7392;-0.35041;0
-105.11423;-0.98232;0
-103.66926;-1.53674;0
-102.99386;-0.8202;0
-102.99733;-0.8246;0
-102.96111;-1.32516;0
-103.33854;-1.76162;0
-103.35385;-1.77438;0
-103.37265;-1.77895;0
-104.09012;-2.01668;0
-104.17395;-2.03351;0
-104.19899;-2.05688;0
-104.20909;-2.06889;0
-104.21185;-2.07561;0
-104.01251;-0.38218;0
-105.77111;-0.39211;0
-106.01646;-0.49983;0
-107.17495;0.05002;0
-107.30854;0.07356;0
-107.31352;0.06363;0
-107.01776;0.28174;0
-105.0223;-0.6439;0
-110.30409;-1.6383;0
-110.29488;-1.63893;0
-110.28523;-1.6407;0
-110.28061;-1.64164;0
-108.48945;-1.72673;0
-108.48138;-1.72836;0
-108.46447;-1.73903;0
-108.42692;-1.76784;0
-108.41866;-1.77747;0
-108.41478;-1.78048;0
-108.50774;-1.23397;0
-108.51386;-1.23449;0
-108.53586;-1.23647;0
-109.10379;-1.052;0
-108.74222;-0.91445;0
-108.73769;-0.92048;0
-108.73268;-0.92352;0
-108.71624;-0.93351;0
-107.42158;-0.50532;0
-107.61412;-0.4711;0
-107.58555;-0.45615;0
-106.72814;-0.42273;0
-106.74214;-0.4073;0
-105.10029;-1.14035;0
-105.0963;-1.12085;0
-103.66707;-1.53339;0
-103.69111;-1.73631;0
-103.69701;-1.72572;0
-103.70166;-1.71717;0
-103.73948;-1.66646;0
-102.82869;-0.77409;0
-102.9408;-1.32823;0
-102.95608;-1.32623;0
-102.96677;-1.32445;0
-103.06088;-1.6824;0
-103.04113;-1.69796;0
-104.18478;-2.04449;0
-104.18907;-2.0474;0
-104.21589;-2.09946;0
-104.21727;-2.10444;0
-104.23081;-2.1253;0
-104.24579;-2.15218;0
-103.98781;0.01954;0
-106.02885;-0.49867;0
-107.18453;0.04684;0
-107.22614;0.12876;0
-107.37725;0.17863;0
-107.37009;0.17404;0
-107.29563;0.09605;0
-107.30644;0.07937;0
-107.31112;0.06884;0
-107.01934;0.267;0
-105.01877;-0.63288;0
-105.01454;-0.62264;0
-105.00763;-0.60997;0
-105.00181;-0.58761;0
-110.26689;-1.64527;0
-108.4758;-1.73095;0
-108.44865;-1.75077;0
-108.436;-1.76165;0
-108.47458;-1.23232;0
-108.52123;-1.23548;0
-108.52821;-1.23577;0
-109.09693;-1.05787;0
-109.09068;-1.06244;0
-109.08102;-1.07016;0
-108.74193;-0.90635;0
-108.72678;-0.92632;0
-107.48663;-0.4927;0
-107.68977;-0.49396;0
-107.57879;-0.45273;0
-106.73566;-0.41358;0
-106.75363;-0.39446;0
-106.76201;-0.3729;0
-106.71188;-0.33122;0
-106.70322;-0.32495;0
-106.68473;-0.31221;0
-106.66225;-0.29365;0
-106.64115;-0.2749;0
-106.62563;-0.2121;0
-105.06145;-1.13407;0
-103.68611;-1.74609;0
-103.71812;-1.69379;0
-102.8273;-0.77183;0
-103.33506;-1.75944;0
