time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magNst,status,locationSource,magSource
,-8.07652,-89.02535,,,,,,,,,,,,,,,,,
,-1.65287,-103.82421,,,,,,,,,,,,,,,,,
,-0.55382,-106.65312,,,,,,,,,,,,,,,,,
,-1.44057,-105.12869,,,,,,,,,,,,,,,,,
,-1.43198,-105.13517,,,,,,,,,,,,,,,,,
,-0.25518,-106.14875,,,,,,,,,,,,,,,,,
,-0.24863,-104.8072,,,,,,,,,,,,,,,,,
,-1.36935,-108.49232,,,,,,,,,,,,,,,,,
,-0.3754,-106.87053,,,,,,,,,,,,,,,,,
,-0.77624,-104.04192,,,,,,,,,,,,,,,,,
,-0.33527,-106.81869,,,,,,,,,,,,,,,,,
,-0.31528,-106.78899,,,,,,,,,,,,,,,,,
,-0.48053,-105.93397,,,,,,,,,,,,,,,,,
,-0.12061,-104.60635,,,,,,,,,,,,,,,,,
,-0.09385,-106.58117,,,,,,,,,,,,,,,,,
,-0.53589,-104.92304,,,,,,,,,,,,,,,,,
,-0.22348,-106.32328,,,,,,,,,,,,,,,,,
,-0.36603,-105.68192,,,,,,,,,,,,,,,,,
,-0.35073,-105.53763,,,,,,,,,,,,,,,,,
,-0.52605,-104.98912,,,,,,,,,,,,,,,,,
,-0.20785,-106.07853,,,,,,,,,,,,,,,,,
,-0.11185,-104.60587,,,,,,,,,,,,,,,,,
,0.29408,-110.59193,,,,,,,,,,,,,,,,,
,0.34623,-103.57768,,,,,,,,,,,,,,,,,
,-0.29949,-106.32014,,,,,,,,,,,,,,,,,
,-0.80602,-107.72167,,,,,,,,,,,,,,,,,
,-1.27117,-105.52821,,,,,,,,,,,,,,,,,
,-1.24093,-103.49713,,,,,,,,,,,,,,,,,
,-0.10626,-106.93875,,,,,,,,,,,,,,,,,
,-0.78061,-109.59408,,,,,,,,,,,,,,,,,
,-0.15052,-105.78983,,,,,,,,,,,,,,,,,
,-0.17394,-106.71264,,,,,,,,,,,,,,,,,
,0.29462,-110.604,,,,,,,,,,,,,,,,,
,-1.4469,-103.33648,,,,,,,,,,,,,,,,,
,-0.02168,-103.53145,,,,,,,,,,,,,,,,,
,-1.05465,-103.50848,,,,,,,,,,,,,,,,,
,-0.22077,-107.38137,,,,,,,,,,,,,,,,,
,0.39128,-110.67051,,,,,,,,,,,,,,,,,
,-0.81405,-107.7358,,,,,,,,,,,,,,,,,
,-1.27428,-105.53155,,,,,,,,,,,,,,,,,
,-1.44671,-103.34915,,,,,,,,,,,,,,,,,
,0.08885,-107.12292,,,,,,,,,,,,,,,,,
,-0.19453,-110.22125,,,,,,,,,,,,,,,,,
,-0.03987,-105.70077,,,,,,,,,,,,,,,,,
,-0.04665,-105.68657,,,,,,,,,,,,,,,,,
,-1.16566,-112.77229,,,,,,,,,,,,,,,,,
,0.29409,-110.58579,,,,,,,,,,,,,,,,,
,0.07563,-110.80897,,,,,,,,,,,,,,,,,
,0.0636,-110.68833,,,,,,,,,,,,,,,,,
,0.33127,-110.72285,,,,,,,,,,,,,,,,,
,-0.2799,-106.44937,,,,,,,,,,,,,,,,,
,-1.15858,-112.75926,,,,,,,,,,,,,,,,,
,-0.2632,-106.26208,,,,,,,,,,,,,,,,,
,-0.07282,-106.92038,,,,,,,,,,,,,,,,,
,0.0551,-107.09397,,,,,,,,,,,,,,,,,
,0.32524,-110.68129,,,,,,,,,,,,,,,,,
,-0.268,-106.24336,,,,,,,,,,,,,,,,,
,0.09176,-107.61492,,,,,,,,,,,,,,,,,
,0.24058,-103.27193,,,,,,,,,,,,,,,,,
,-1.58739,-105.21027,,,,,,,,,,,,,,,,,
,0.21641,-103.43449,,,,,,,,,,,,,,,,,
,0.20482,-103.23102,,,,,,,,,,,,,,,,,
