longitude,latitude,altitude
-79.26285,-19.11015,0
-79.266,-19.10956,0
-79.61195,-18.42579,0
-79.62366,-19.61098,0
-81.1734,-18.5971,0
-79.11575,-18.70831,0
-79.17113,-18.7122,0
-81.4475,-18.4663,0
-81.19193,-18.58872,0
-79.79645,-18.61655,0
-79.79568,-18.62313,0
-79.17443,-18.71189,0
-79.29704,-18.66185,0
-78.49641,-19.49925,0
-80.68577,-16.05761,0
-78.4587,-19.43708,0
-79.21291,-18.76184,0
-80.68642,-16.05608,0
-79.28031,-18.65783,0
-78.4924,-19.49416,0
-79.29399,-18.66308,0
-80.67458,-16.06047,0
-79.30863,-18.75293,0
-79.20765,-18.64354,0
-79.22039,-18.64731,0
-79.21891,-18.75991,0
-79.80726,-18.43447,0
-82.55629,-15.40048,0
-79.33835,-18.61962,0
-79.3633,-18.5158,0
-80.69043,-18.82728,0
-80.64002,-18.81499,0
-82.51702,-15.3048,0
-79.91641,-18.34978,0
-79.89369,-18.35286,0
-80.68972,-18.9017,0
-79.99514,-19.12541,0
-79.2835,-18.841,0
-79.14171,-19.16724,0
-82.05233,-18.17203,0
-80.45948,-17.55818,0
-80.46291,-17.55575,0
-79.96749,-19.14384,0
-79.96787,-19.14285,0
-79.98769,-19.12628,0
-79.99257,-19.12527,0
-79.99864,-19.12543,0
-80.00009,-19.12603,0
-80.00295,-19.12517,0
-80.00748,-19.12234,0
-80.01251,-19.11913,0
-79.28264,-18.83978,0
-78.78188,-19.09556,0
-78.78057,-19.09377,0
-78.77971,-19.09313,0
-79.1357,-19.17394,0
-79.14252,-19.16558,0
-79.14389,-19.16283,0
-80.38768,-18.58669,0
-82.01295,-18.36265,0
-82.01228,-18.36689,0
-82.01263,-18.36944,0
-81.96227,-18.16797,0
-81.96511,-18.16833,0
-82.00264,-18.16707,0
-82.04907,-18.16755,0
-82.0514,-18.17046,0
-81.62852,-18.57507,0
-80.4484,-17.56384,0
-79.96756,-19.14439,0
-79.96934,-19.14075,0
-79.97159,-19.13716,0
-79.97865,-19.12959,0
-79.98065,-19.12849,0
-79.98377,-19.12741,0
-79.98568,-19.12677,0
-79.98994,-19.12571,0
-79.99746,-19.12496,0
-80.00558,-19.12382,0
-80.01019,-19.12045,0
-79.21457,-18.82077,0
-79.25263,-18.82085,0
-79.25939,-18.82337,0
-79.26259,-18.82498,0
-79.26887,-18.82788,0
-79.273,-18.83031,0
-79.27619,-18.83259,0
-78.78154,-19.09503,0
-78.77965,-19.09201,0
-78.77964,-19.09065,0
-79.13424,-19.17619,0
-79.13979,-19.16985,0
-79.14664,-19.16157,0
-80.38315,-18.59034,0
-80.38413,-18.58942,0
-80.38555,-18.58823,0
-80.39248,-18.5833,0
-80.39657,-18.57923,0
-81.96728,-18.34626,0
-81.97695,-18.34896,0
-82.00154,-18.35598,0
-82.01278,-18.36047,0
-82.01396,-18.37263,0
-82.01384,-18.37811,0
-82.04822,-18.16182,0
-82.0481,-18.16525,0
-82.04825,-18.16653,0
-82.05068,-18.16983,0
-82.05296,-18.17288,0
-81.62888,-18.57484,0
-81.6304,-18.57459,0
-81.63182,-18.57326,0
-80.45039,-17.56209,0
-80.45418,-17.56005,0
