time,latitude,longitude,depth,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magNst,status,locationSource,magSource
,-19.11015,-79.26285,,,,,,,,,,,,,,,,,
,-19.10956,-79.266,,,,,,,,,,,,,,,,,
,-18.42579,-79.61195,,,,,,,,,,,,,,,,,
,-19.61098,-79.62366,,,,,,,,,,,,,,,,,
,-18.5971,-81.1734,,,,,,,,,,,,,,,,,
,-18.70831,-79.11575,,,,,,,,,,,,,,,,,
,-18.7122,-79.17113,,,,,,,,,,,,,,,,,
,-18.4663,-81.4475,,,,,,,,,,,,,,,,,
,-18.58872,-81.19193,,,,,,,,,,,,,,,,,
,-18.61655,-79.79645,,,,,,,,,,,,,,,,,
,-18.62313,-79.79568,,,,,,,,,,,,,,,,,
,-18.71189,-79.17443,,,,,,,,,,,,,,,,,
,-18.66185,-79.29704,,,,,,,,,,,,,,,,,
,-19.49925,-78.49641,,,,,,,,,,,,,,,,,
,-16.05761,-80.68577,,,,,,,,,,,,,,,,,
,-19.43708,-78.4587,,,,,,,,,,,,,,,,,
,-18.76184,-79.21291,,,,,,,,,,,,,,,,,
,-16.05608,-80.68642,,,,,,,,,,,,,,,,,
,-18.65783,-79.28031,,,,,,,,,,,,,,,,,
,-19.49416,-78.4924,,,,,,,,,,,,,,,,,
,-18.66308,-79.29399,,,,,,,,,,,,,,,,,
,-16.06047,-80.67458,,,,,,,,,,,,,,,,,
,-18.75293,-79.30863,,,,,,,,,,,,,,,,,
,-18.64354,-79.20765,,,,,,,,,,,,,,,,,
,-18.64731,-79.22039,,,,,,,,,,,,,,,,,
,-18.75991,-79.21891,,,,,,,,,,,,,,,,,
,-18.43447,-79.80726,,,,,,,,,,,,,,,,,
,-15.40048,-82.55629,,,,,,,,,,,,,,,,,
,-18.61962,-79.33835,,,,,,,,,,,,,,,,,
,-18.5158,-79.3633,,,,,,,,,,,,,,,,,
,-18.82728,-80.69043,,,,,,,,,,,,,,,,,
,-18.81499,-80.64002,,,,,,,,,,,,,,,,,
,-15.3048,-82.51702,,,,,,,,,,,,,,,,,
,-18.34978,-79.91641,,,,,,,,,,,,,,,,,
,-18.35286,-79.89369,,,,,,,,,,,,,,,,,
,-18.9017,-80.68972,,,,,,,,,,,,,,,,,
,-19.12541,-79.99514,,,,,,,,,,,,,,,,,
,-18.841,-79.2835,,,,,,,,,,,,,,,,,
,-19.16724,-79.14171,,,,,,,,,,,,,,,,,
,-18.17203,-82.05233,,,,,,,,,,,,,,,,,
,-17.55818,-80.45948,,,,,,,,,,,,,,,,,
,-17.55575,-80.46291,,,,,,,,,,,,,,,,,
,-19.14384,-79.96749,,,,,,,,,,,,,,,,,
,-19.14285,-79.96787,,,,,,,,,,,,,,,,,
,-19.12628,-79.98769,,,,,,,,,,,,,,,,,
,-19.12527,-79.99257,,,,,,,,,,,,,,,,,
,-19.12543,-79.99864,,,,,,,,,,,,,,,,,
,-19.12603,-80.00009,,,,,,,,,,,,,,,,,
,-19.12517,-80.00295,,,,,,,,,,,,,,,,,
,-19.12234,-80.00748,,,,,,,,,,,,,,,,,
,-19.11913,-80.01251,,,,,,,,,,,,,,,,,
,-18.83978,-79.28264,,,,,,,,,,,,,,,,,
,-19.09556,-78.78188,,,,,,,,,,,,,,,,,
,-19.09377,-78.78057,,,,,,,,,,,,,,,,,
,-19.09313,-78.77971,,,,,,,,,,,,,,,,,
,-19.17394,-79.1357,,,,,,,,,,,,,,,,,
,-19.16558,-79.14252,,,,,,,,,,,,,,,,,
,-19.16283,-79.14389,,,,,,,,,,,,,,,,,
,-18.58669,-80.38768,,,,,,,,,,,,,,,,,
,-18.36265,-82.01295,,,,,,,,,,,,,,,,,
,-18.36689,-82.01228,,,,,,,,,,,,,,,,,
,-18.36944,-82.01263,,,,,,,,,,,,,,,,,
,-18.16797,-81.96227,,,,,,,,,,,,,,,,,
,-18.16833,-81.96511,,,,,,,,,,,,,,,,,
,-18.16707,-82.00264,,,,,,,,,,,,,,,,,
,-18.16755,-82.04907,,,,,,,,,,,,,,,,,
,-18.17046,-82.0514,,,,,,,,,,,,,,,,,
,-18.57507,-81.62852,,,,,,,,,,,,,,,,,
,-17.56384,-80.4484,,,,,,,,,,,,,,,,,
,-19.14439,-79.96756,,,,,,,,,,,,,,,,,
,-19.14075,-79.96934,,,,,,,,,,,,,,,,,
,-19.13716,-79.97159,,,,,,,,,,,,,,,,,
,-19.12959,-79.97865,,,,,,,,,,,,,,,,,
,-19.12849,-79.98065,,,,,,,,,,,,,,,,,
,-19.12741,-79.98377,,,,,,,,,,,,,,,,,
,-19.12677,-79.98568,,,,,,,,,,,,,,,,,
,-19.12571,-79.98994,,,,,,,,,,,,,,,,,
,-19.12496,-79.99746,,,,,,,,,,,,,,,,,
,-19.12382,-80.00558,,,,,,,,,,,,,,,,,
,-19.12045,-80.01019,,,,,,,,,,,,,,,,,
,-18.82077,-79.21457,,,,,,,,,,,,,,,,,
,-18.82085,-79.25263,,,,,,,,,,,,,,,,,
,-18.82337,-79.25939,,,,,,,,,,,,,,,,,
,-18.82498,-79.26259,,,,,,,,,,,,,,,,,
,-18.82788,-79.26887,,,,,,,,,,,,,,,,,
,-18.83031,-79.273,,,,,,,,,,,,,,,,,
,-18.83259,-79.27619,,,,,,,,,,,,,,,,,
,-19.09503,-78.78154,,,,,,,,,,,,,,,,,
,-19.09201,-78.77965,,,,,,,,,,,,,,,,,
,-19.09065,-78.77964,,,,,,,,,,,,,,,,,
,-19.17619,-79.13424,,,,,,,,,,,,,,,,,
,-19.16985,-79.13979,,,,,,,,,,,,,,,,,
,-19.16157,-79.14664,,,,,,,,,,,,,,,,,
,-18.59034,-80.38315,,,,,,,,,,,,,,,,,
,-18.58942,-80.38413,,,,,,,,,,,,,,,,,
,-18.58823,-80.38555,,,,,,,,,,,,,,,,,
,-18.5833,-80.39248,,,,,,,,,,,,,,,,,
,-18.57923,-80.39657,,,,,,,,,,,,,,,,,
,-18.34626,-81.96728,,,,,,,,,,,,,,,,,
,-18.34896,-81.97695,,,,,,,,,,,,,,,,,
,-18.35598,-82.00154,,,,,,,,,,,,,,,,,
,-18.36047,-82.01278,,,,,,,,,,,,,,,,,
,-18.37263,-82.01396,,,,,,,,,,,,,,,,,
,-18.37811,-82.01384,,,,,,,,,,,,,,,,,
,-18.16182,-82.04822,,,,,,,,,,,,,,,,,
,-18.16525,-82.0481,,,,,,,,,,,,,,,,,
,-18.16653,-82.04825,,,,,,,,,,,,,,,,,
,-18.16983,-82.05068,,,,,,,,,,,,,,,,,
,-18.17288,-82.05296,,,,,,,,,,,,,,,,,
,-18.57484,-81.62888,,,,,,,,,,,,,,,,,
,-18.57459,-81.6304,,,,,,,,,,,,,,,,,
,-18.57326,-81.63182,,,,,,,,,,,,,,,,,
,-17.56209,-80.45039,,,,,,,,,,,,,,,,,
,-17.56005,-80.45418,,,,,,,,,,,,,,,,,
,-19.13396,-79.97403,,,,,,,,,,,,,,,,,
,-19.13204,-79.97584,,,,,,,,,,,,,,,,,
,-19.11817,-80.01443,,,,,,,,,,,,,,,,,
,-18.82201,-79.20793,,,,,,,,,,,,,,,,,
,-18.8173,-79.22758,,,,,,,,,,,,,,,,,
,-18.81893,-79.24777,,,,,,,,,,,,,,,,,
,-18.82251,-79.25656,,,,,,,,,,,,,,,,,
,-18.83521,-79.27923,,,,,,,,,,,,,,,,,
,-18.84113,-79.28517,,,,,,,,,,,,,,,,,
,-19.09619,-78.78257,,,,,,,,,,,,,,,,,
,-19.17792,-79.13302,,,,,,,,,,,,,,,,,
,-19.16425,-79.14311,,,,,,,,,,,,,,,,,
,-18.5848,-80.36651,,,,,,,,,,,,,,,,,
,-18.58575,-80.37253,,,,,,,,,,,,,,,,,
,-18.58636,-80.37417,,,,,,,,,,,,,,,,,
,-18.5874,-80.37615,,,,,,,,,,,,,,,,,
,-18.5886,-80.37806,,,,,,,,,,,,,,,,,
,-18.58989,-80.3802,,,,,,,,,,,,,,,,,
,-18.58785,-80.38657,,,,,,,,,,,,,,,,,
,-18.5849,-80.39029,,,,,,,,,,,,,,,,,
,-18.58152,-80.3947,,,,,,,,,,,,,,,,,
,-18.57708,-80.39806,,,,,,,,,,,,,,,,,
,-18.34865,-81.9744,,,,,,,,,,,,,,,,,
,-18.34976,-81.98104,,,,,,,,,,,,,,,,,
,-18.37092,-82.01333,,,,,,,,,,,,,,,,,
,-18.37677,-82.01414,,,,,,,,,,,,,,,,,
,-18.37908,-82.01344,,,,,,,,,,,,,,,,,
,-18.16815,-81.9703,,,,,,,,,,,,,,,,,
,-18.16697,-81.97657,,,,,,,,,,,,,,,,,
,-18.16507,-81.9828,,,,,,,,,,,,,,,,,
,-18.16499,-81.99109,,,,,,,,,,,,,,,,,
,-18.16586,-81.99437,,,,,,,,,,,,,,,,,
,-18.16359,-82.0213,,,,,,,,,,,,,,,,,
,-18.16229,-82.03588,,,,,,,,,,,,,,,,,
,-18.16162,-82.04515,,,,,,,,,,,,,,,,,
,-18.16417,-82.04781,,,,,,,,,,,,,,,,,
,-18.16886,-82.05002,,,,,,,,,,,,,,,,,
,-18.57072,-81.63469,,,,,,,,,,,,,,,,,
,-17.56486,-80.44495,,,,,,,,,,,,,,,,,
,-18.81959,-79.21832,,,,,,,,,,,,,,,,,
,-18.81611,-79.23203,,,,,,,,,,,,,,,,,
,-18.81554,-79.2372,,,,,,,,,,,,,,,,,
,-19.13927,-78.81442,,,,,,,,,,,,,,,,,
,-19.17205,-79.13754,,,,,,,,,,,,,,,,,
,-19.16853,-79.14151,,,,,,,,,,,,,,,,,
,-18.58561,-80.36159,,,,,,,,,,,,,,,,,
,-18.35004,-81.98483,,,,,,,,,,,,,,,,,
,-18.35366,-81.99511,,,,,,,,,,,,,,,,,
,-18.35908,-82.01064,,,,,,,,,,,,,,,,,
,-18.16889,-81.95338,,,,,,,,,,,,,,,,,
,-18.16865,-81.95858,,,,,,,,,,,,,,,,,
